thread_subject,username,page_name
 English descriptions for Latvian municipalities ,Sk!d,WikidataBotrequestsArchive201302.json
 English descriptions for Latvian municipalities ,Ymblanter,WikidataBotrequestsArchive201302.json
 English descriptions for Latvian municipalities ,Legoktm,WikidataBotrequestsArchive201302.json
 Fix calling of [[Template:archive]] ,Kaganer,WikidataBotrequestsArchive201302.json
 Fix calling of [[Template:archive]] ,Bináris,WikidataBotrequestsArchive201302.json
 Fix calling of [[Template:archive]] ,Hazard-SJ,WikidataBotrequestsArchive201302.json
 Fix calling of [[Template:archive]] ,Legoktm,WikidataBotrequestsArchive201302.json
 Tool for adding properties ,Reza1615,WikidataBotrequestsArchive201302.json
 Tool for adding properties ,Legoktm,WikidataBotrequestsArchive201302.json
 update needed ,Taranet,WikidataBotrequestsArchive201302.json
 update needed ,Hazard-SJ,WikidataBotrequestsArchive201302.json
 update needed ,Legoktm,WikidataBotrequestsArchive201302.json
 Little Query for small wikis ,Reza1615,WikidataBotrequestsArchive201302.json
 Little Query for small wikis ,Legoktm,WikidataBotrequestsArchive201302.json
 Little Query for small wikis ,Hazard-SJ,WikidataBotrequestsArchive201302.json
 Add all people on wikipedia ,Magnus Manske,WikidataBotrequestsArchive201302.json
 Add all people on wikipedia ,Sk!d,WikidataBotrequestsArchive201302.json
 Add all people on wikipedia ,Legoktm,WikidataBotrequestsArchive201302.json
 Films by year ,Tbennert,WikidataBotrequestsArchive201302.json
 Import lunar craters eponyms ,EugeneZelenko,WikidataBotrequestsArchive201302.json
 Description same as Label ,Tbennert,WikidataBotrequestsArchive201302.json
 Description same as Label ,130.88.99.229,WikidataBotrequestsArchive201302.json
 Description same as Label ,Faux,WikidataBotrequestsArchive201302.json
 Description same as Label ,Sk!d,WikidataBotrequestsArchive201302.json
 Import asteroids eponyms ,EugeneZelenko,WikidataBotrequestsArchive201302.json
 Import asteroids eponyms ,Ricordisamoa,WikidataBotrequestsArchive201302.json
 Import asteroids eponyms ,Sk!d,WikidataBotrequestsArchive201302.json
 Merge [[P:P127]] and [[P:P165]] ,Zolo,WikidataBotrequestsArchive201303.json
 Merge [[P:P127]] and [[P:P165]] ,Rschen7754,WikidataBotrequestsArchive201303.json
 Merge [[P:P127]] and [[P:P165]] ,Legoktm,WikidataBotrequestsArchive201303.json
 Link to user namespace ,Brackenheim,WikidataBotrequestsArchive201303.json
 Link to user namespace ,Reza1615,WikidataBotrequestsArchive201303.json
