thread_subject,username,page_name
 Connect families with their members ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchivesDatastructure.json
 Integration of {{Q|36948990}}'s country/subject archives metadata ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchivesDatastructure.json
 Integration of {{Q|36948990}}'s country/subject archives metadata ,Jura1,WikidatatalkWikiProject20thCenturyPressArchivesDatastructure.json
English Wikipedia's WikiProject Newspapers,Bluerasberry,WikidatatalkWikiProject20thCenturyPressArchives.json
 Persons archive completed: data donation of ZBW to Wikidata ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
 Integration of the country/subject archives (Länder/Sacharchiv) into Wikidata ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
 <s>Property Proposals open to review</s> Properties {{P|8483}} and {{P|8484}} created ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
" Country/subject archives completed: data donation of ZBW, part 2 ",Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
 Integrating PM20 company/organization folders into Wikidata ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
 Company/organizations archives: Part three of ZBW data donation to Wikidata completed ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchives.json
 Best strategy to add new items derived from PM20? ,Jneubert,WikidatatalkWikiProject20thCenturyPressArchivesToolstasks.json
 Redirection ,Joachat,WikidatatalkWikiProject3L.json
 Redirection ,Simon Villeneuve,WikidatatalkWikiProject3L.json
 Bac à sable ou brouillon ,Simon Villeneuve,WikidatatalkWikiProject3L.json
 Bac à sable ou brouillon ,Gisele-henne,WikidatatalkWikiProject3L.json
 Questions relatives aux femmes artistes des Laurentides ,Gisele-henne,WikidatatalkWikiProject3L.json
 Questions relatives aux femmes artistes des Laurentides ,Simon Villeneuve,WikidatatalkWikiProject3L.json
 Utilisation d'archives ,Simon Villeneuve,WikidatatalkWikiProject3L.json
 Photos ,24.226.204.238,WikidatatalkWikiProject3L.json
 Photos ,Gisele-henne,WikidatatalkWikiProject3L.json
 Photos ,Simon Villeneuve,WikidatatalkWikiProject3L.json
 Logos ,PachydermeC,WikidatatalkWikiProject3L.json
 Welcome ,Walkuraxx,WikidatatalkWikiProjectAfrica.json
 Template:Scholia  & automatic indexing ,Walkuraxx,WikidatatalkWikiProjectAfrica.json
