node_id,username,degree,comment_count,page_count,discussion_count
3389,DeltaBot,4940,46277,1907,46277
2580,BeneBot*,4355,238957,1161,238957
3215,Cycn,1208,3910,890,3910
6396,MisterSynergy,712,1311,333,1311
5899,Lymantria,707,5727,706,5727
9492,Ymblanter,640,1747,255,1747
9925,분당선M,632,2578,262,2578
7434,Quakewoody,570,2382,436,2382
8426,Stryn,515,1465,272,1465
6212,Mbch331,504,972,420,972
5253,Jura1,498,2102,594,2102
9271,Wiki13,451,1953,186,1953
9366,Wolverène,439,591,343,591
9026,VIGNERON,419,530,261,530
3391,Delusion23,417,1497,158,1497
5999,Mahir256,406,1294,374,1294
4032,Fralambert,389,866,317,866
7078,Pasleim,389,2279,292,2279
9050,ValterVB,381,647,235,647
6184,Matěj Suchánek,367,1424,308,1424
