metric,observed,random_mean,random_std,observed_to_random_mean_ratio
nodes,9935.0,9935.0,0.0,1.0
edges,33497.0,33497.0,0.0,1.0
density,0.0006788032012794256,0.0006788032012794256,0.0,1.0
average_degree,6.743231001509813,6.743231001509814,9.112518314015307e-16,0.9999999999999999
median_degree,1.0,7.0,0.0,0.14285714285714285
max_degree,4940.0,18.95,1.4680814547887786,260.68601583113457
average_clustering,0.39195151978191595,0.0006224382815608134,9.181947255507584e-05,629.7034282645122
transitivity,0.014012985371831791,0.0006475391426832315,7.170582140750606e-05,21.64036804596194
assortativity,-0.2342696479521726,0.0008510205304287144,0.0051860623489237,-275.2808417373383
connected_components,57.0,12.8,2.745330964613039,4.453125
isolated_nodes,48.0,11.8,2.745330964613039,4.067796610169491
largest_component_size,9870.0,9923.2,2.745330964613039,0.9946388261851015
average_shortest_path_length_LCC,2.747855912453136,5.030835774656606,0.02664854415719509,0.5462026660253482
diameter_LCC,6.0,8.95,0.5104177855340405,0.670391061452514
