graph_id,nodes,edges,density,average_degree,median_degree,max_degree,average_clustering,transitivity,assortativity,connected_components,isolated_nodes,largest_component_size,average_shortest_path_length_LCC,diameter_LCC,path_metric_method
1,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0004432006806263001,0.000505538753536554,0.0013196822546156402,11,10,9925,5.00901753325272,9,estimated_from_100_sources
2,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0005805847678016777,0.0005717020767410323,0.005802058536335168,10,9,9926,5.026553148614609,9,estimated_from_100_sources
3,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0006171834389069949,0.0006251828992524409,-0.00013198704696272293,14,13,9922,5.06933575244431,9,estimated_from_100_sources
4,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.00048145585890930624,0.0005438603472747291,0.002909718735355691,17,16,9919,5.05384654164146,9,estimated_from_100_sources
5,9935,33497,0.0006788032012794256,6.743231001509813,7.0,17,0.0006770001234017338,0.0006916395848389056,0.010322176737175106,14,13,9922,5.005560931357726,9,estimated_from_100_sources
6,9935,33497,0.0006788032012794256,6.743231001509813,7.0,21,0.0005985271787989452,0.0005973239885313794,0.0009604526600804259,15,14,9921,5.0474909274193545,10,estimated_from_100_sources
7,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0007003218779766338,0.0007060641585846744,0.0010702255526615894,17,16,9919,5.09560899374874,8,estimated_from_100_sources
8,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0007218452329320028,0.0007426431908902436,-0.0031533518362439564,15,14,9921,5.025537298387097,9,estimated_from_100_sources
9,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0006431152027528475,0.0006368046557495943,0.01275969083553523,11,10,9925,5.021212212817412,9,estimated_from_100_sources
10,9935,33497,0.0006788032012794256,6.743231001509813,7.0,21,0.0005034360595508054,0.0005718389276025321,-0.001533256589644197,10,9,9926,5.040673047858942,9,estimated_from_100_sources
11,9935,33497,0.0006788032012794256,6.743231001509813,7.0,20,0.0008370017277918636,0.000732132635810604,-0.0040167116006862786,12,11,9924,5.024224528872317,9,estimated_from_100_sources
12,9935,33497,0.0006788032012794256,6.743231001509813,7.0,23,0.0006291477353379719,0.0006771559450308703,0.0020043207187524573,15,14,9921,5.025260080645161,9,estimated_from_100_sources
13,9935,33497,0.0006788032012794256,6.743231001509813,7.0,20,0.0005747582395795783,0.0006235461645277411,-0.007284181679780875,12,11,9924,4.993644059256273,8,estimated_from_100_sources
14,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0005336264697110194,0.0006088871043888406,-0.008188003465627773,14,13,9922,5.055137586936801,9,estimated_from_100_sources
15,9935,33497,0.0006788032012794256,6.743231001509813,7.0,17,0.0006081599438418764,0.0006369088689560002,-0.004094154062611033,17,16,9919,5.010098810244001,8,estimated_from_100_sources
16,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0006701774727767209,0.0006652179697547563,-0.0009241761945335548,10,9,9926,5.033182871536524,9,estimated_from_100_sources
17,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0006348241559467469,0.0006479567323586066,0.0036795261169018222,11,10,9925,5.021099355098751,9,estimated_from_100_sources
18,9935,33497,0.0006788032012794256,6.743231001509813,7.0,19,0.0007295238715647846,0.0007965306664306576,0.001046776272878694,11,10,9925,4.991705965336558,9,estimated_from_100_sources
19,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0006622000154964423,0.0007182697679367923,-0.0005375665465486199,7,6,9929,5.0614232473811445,10,estimated_from_100_sources
20,9935,33497,0.0006788032012794256,6.743231001509813,7.0,18,0.0006026755775120143,0.0006515784154676737,0.005009171210921473,13,12,9923,5.006102600282201,9,estimated_from_100_sources
