node_id,username,degree,degree_centrality,betweenness_centrality
3389,DeltaBot,4940,0.4972820616066036,0.0
2580,BeneBot*,4355,0.43839339641634795,0.0
3215,Cycn,1208,0.12160257700825448,0.0
6396,MisterSynergy,712,0.07167304207771291,0.0
5899,Lymantria,707,0.07116972015300987,0.0
9492,Ymblanter,640,0.06442520636198913,0.0
9925,분당선M,632,0.06361989128246427,0.0
7434,Quakewoody,570,0.057378699416146574,0.0
8426,Stryn,515,0.05184215824441313,0.0
6212,Mbch331,504,0.05073485001006644,0.0
5253,Jura1,498,0.050130863700422794,0.0
9271,Wiki13,451,0.045399637608214215,0.0
9366,Wolverène,439,0.04419166498892692,0.0
9026,VIGNERON,419,0.04217837729011476,0.0
3391,Delusion23,417,0.04197704852023355,0.0
5999,Mahir256,406,0.04086974028588686,0.0
4032,Fralambert,389,0.039158445741896517,0.0
7078,Pasleim,389,0.039158445741896517,0.0
9050,ValterVB,381,0.03835313066237166,0.0
6184,Matěj Suchánek,367,0.036943829273203145,0.0
