editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
BeneBot*,1,0.8646647167633873,1508.0,4355
DeltaBot,1,0.5570611734070192,614.0,4940
SamoaBot,1,0.1391778637533143,113.0,170
Pütz M.,1,0.11721044382744294,94.0,69
Lymantria,1,0.11369102167758627,91.0,707
GZWDer,1,0.06911360805327937,54.0,173
Epìdosis,1,0.059184246851282984,46.0,51
Jura1,1,0.05668540169644709,44.0,498
Jafeluv,1,0.05292468401652051,41.0,6
Mbch331,1,0.05040921320654568,39.0,504
MisterSynergy,1,0.046623474210232274,36.0,712
Quakewoody,1,0.04409126712905731,34.0,570
Liuxinyu970226,1,0.04409126712905731,34.0,185
Jared Preston,1,0.04282264258670776,33.0,240
Matěj Suchánek,1,0.040280340341144805,31.0,367
Wolverène,1,0.03773128563674277,29.0,439
Peter James,1,0.036454220509709034,28.0,351
Pasleim,1,0.03517546053869425,27.0,389
George.Edward.C,1,0.03517546053869425,27.0,48
AttoRenato,1,0.032612847064556805,25.0,44
Nikki,1,0.03004342718412545,23.0,250
분당선M,1,0.028756159194019415,22.0,632
VIGNERON,1,0.02746718281930649,21.0,419
The Anonymouse,1,0.02746718281930649,21.0,256
ValterVB,1,0.02617649579272152,20.0,381
FelixReimann,1,0.02617649579272152,20.0,21
Mahir256,1,0.024884095843990095,19.0,406
Magnus Manske,1,0.024884095843990095,19.0,39
Inwind,1,0.023589980699825208,18.0,34
Sjoerddebruin,1,0.022294148083922605,17.0,201
Andre Engels,1,0.022294148083922605,17.0,97
Ary29,1,0.022294148083922605,17.0,42
Armbrust,1,0.022294148083922605,17.0,17
Smiga big,1,0.022294148083922605,17.0,6
Delusion23,1,0.020996595716957223,16.0,417
Bencemac,1,0.020996595716957223,16.0,249
Zdtrlik,1,0.020996595716957223,16.0,24
Zetud,1,0.020996595716957223,16.0,9
ديفيد عادل وهبة خليل 2,1,0.019697321316578864,15.0,94
NatigKrolik,1,0.019697321316578864,15.0,27
Nezdek,1,0.018396322597408532,14.0,8
Ymblanter,1,0.015789143046005982,12.0,640
10.4.0.64,1,0.015789143046005982,12.0,261
Hym411,1,0.015789143046005982,12.0,76
PieterJanR,1,0.015789143046005982,12.0,39
billinghurst,1,0.01448295762783458,11.0,123
Wylve,1,0.01448295762783458,11.0,48
Ultratomio,1,0.01448295762783458,11.0,32
Jackie,1,0.01448295762783458,11.0,20
Sergey kudryavtsev,1,0.01448295762783458,11.0,3
Hazard-SJ,1,0.013175038718984067,10.0,260
