editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
BeneBot*,4355,1.0,1.0,1.0,1.0,821,0.17313369886123997,1,{'Cycn': 1},0.9838695982525976,1.0,0.853340088504935,0.9845274887631235,1,very_high
DeltaBot,4940,1.0,1.0,0.40716180371352784,1.0,613,0.11074977416440832,1,{'Cycn': 1},1.0,0.7466504263093788,0.545862663992997,0.7557068025895575,2,very_high
Lymantria,707,1.0,1.0,0.0603448275862069,1.0,323,0.2028894472361809,1,{'Cycn': 1},0.7513011783950898,0.3934226552984166,1.0,0.6313357968759895,3,very_high
Mbch331,504,1.0,1.0,0.02586206896551724,1.0,237,0.1606779661016949,1,{'Cycn': 1},0.7080500187421729,0.28867235079171744,0.7919483654300257,0.578797324879834,4,very_high
Ymblanter,640,1.0,1.0,0.007957559681697613,1.0,250,0.15644555694618273,1,{'Cycn': 1},0.7385755768685804,0.30450669914738127,0.7710876986325786,0.5769282784565876,5,very_high
분당선M,632,1.0,1.0,0.014588859416445624,1.0,246,0.15432873274780426,1,{'Cycn': 1},0.7369679537125648,0.29963459196102316,0.7606543112523355,0.5764879620571779,6,high
MisterSynergy,712,1.0,1.0,0.023872679045092837,1.0,231,0.13676731793960922,1,{'Cycn': 1},0.7522019935925779,0.28136419001218027,0.6740977404329965,0.5672608814866379,7,high
Jura1,498,1.0,1.0,0.029177718832891247,1.0,199,0.1320504313205043,1,{'Cycn': 1},0.7065200565688606,0.24238733252131547,0.6508491847128262,0.5561828175122115,8,high
Stryn,515,1.0,1.0,0.0033156498673740055,1.0,204,0.13429888084265965,1,{'Cycn': 1},0.7108083202259412,0.24847746650426308,0.6619313260108797,0.5522579543800812,9,high
Matěj Suchánek,367,1.0,1.0,0.020557029177718834,1.0,177,0.12660944206008584,1,{'Cycn': 1},0.6675394749887349,0.21559074299634592,0.6240316772744788,0.5440375473705835,10,high
Wiki13,451,1.0,1.0,0.005305039787798408,1.0,182,0.12322274881516587,1,{'Cycn': 1},0.6938572699179916,0.22168087697929353,0.6073393687732015,0.5410892357160282,11,medium
Delusion23,417,1.0,1.0,0.010610079575596816,1.0,176,0.12146307798481712,1,{'Cycn': 1},0.6838471589161078,0.2143727161997564,0.598666316259532,0.5395860527056091,12,medium
Pasleim,389,1.0,1.0,0.01790450928381963,1.0,168,0.11756473058082575,1,{'Cycn': 1},0.6749719499043918,0.2046285018270402,0.5794521705407882,0.5370956422356614,13,medium
VIGNERON,419,1.0,1.0,0.013925729442970823,1.0,167,0.11438356164383562,1,{'Cycn': 1},0.6844581639486962,0.20341047503045068,0.5637728487213198,0.5347637204363996,14,medium
ValterVB,381,1.0,1.0,0.013262599469496022,1.0,163,0.11430575035063113,1,{'Cycn': 1},0.672318895115796,0.19853836784409257,0.5633893329975379,0.5329782014917361,15,medium
Wolverène,439,1.0,1.0,0.019230769230769232,1.0,158,0.1061114842175957,1,{'Cycn': 1},0.6904129730310657,0.19244823386114496,0.5230014949672209,0.5301181372281967,16,medium
Mahir256,406,1.0,1.0,0.012599469496021221,1.0,152,0.1039671682626539,1,{'Cycn': 1},0.6804334816469063,0.1851400730816078,0.5124326064215016,0.5254428167148224,17,medium
Ajraddatz,286,1.0,1.0,0.004641909814323607,1.0,145,0.10748702742772424,1,{'Cycn': 1},0.6357172621308302,0.17661388550548113,0.529781262120548,0.5212472438732735,18,medium
Quakewoody,570,1.0,1.0,0.022546419098143235,1.0,144,0.08812729498164015,1,{'Cycn': 1},0.7237730110202887,0.1753958587088916,0.4343611566896939,0.5203405427362979,19,medium
The Anonymouse,256,1.0,1.0,0.013925729442970823,1.0,138,0.10407239819004525,1,{'Cycn': 1},0.6215846909816602,0.16808769792935443,0.5129512629057339,0.5194733327862701,20,medium
Peter James,351,1.0,1.0,0.01856763925729443,1.0,136,0.09557273366127898,1,{'Cycn': 1},0.661849413283648,0.1656516443361754,0.4710581795317528,0.5179705272989165,21,lower
Nikki,250,1.0,1.0,0.015251989389920425,1.0,135,0.10204081632653061,1,{'Cycn': 1},0.6185608028546592,0.16443361753958588,0.502938017312188,0.5179215627293491,22,lower
10.4.0.64,261,1.0,1.0,0.007957559681697613,1.0,138,0.10368144252441773,1,{'Cycn': 1},0.6240511509365739,0.16808769792935443,0.5110243235259226,0.5179119194057162,23,lower
Jared Preston,240,1.0,1.0,0.021883289124668436,1.0,123,0.09283018867924528,1,{'Cycn': 1},0.613356618196925,0.14981729598051158,0.45754074420234825,0.5118561868073506,24,lower
HakanIST,276,1.0,1.0,0.003978779840848806,1.0,129,0.0952029520295203,1,{'Cycn': 1},0.631177590942366,0.15712545676004872,0.469235602572744,0.5109022261166147,25,lower
