page_name,thread_subject,discussion_id,group_size,users
WikidatatalkWikiProjectLabelsanddescriptions.json,Bot setting automatic disambiguation description,WikidatatalkWikiProjectLabelsanddescriptions.json || Bot setting automatic disambiguation description,23,26 Ramadan ; Ansumang ; Arnaugir ; B25es ; Bjankuloski06 ; Danmichaelo ; Danny B. ; Eric-92 ; Iwan Novirion ; Kolja21 ; Kondicherry ; KuboF ; Mateuszek045 ; Mathematicair ; Matthew Beta ; Michiel1972 ; Nullzero ; Pikolas ; Rsrikanth05 ; Sk!d ; Stryn ; Vivaelcelta ; Wiki13
WikidatatalkWikiProjectBauundKulturdenkmale.json,Erfassung der Bau- und Kulturdenkmale in Deutschland (Copied from [[Wikidata:Forum/Archiv/2018/10|Forum]]),WikidatatalkWikiProjectBauundKulturdenkmale.json || Erfassung der Bau- und Kulturdenkmale in Deutschland (Copied from [[Wikidata:Forum/Archiv/2018/10|Forum]]),13,ChristianSW ; Cirdan ; Derzno ; MB-one ; MisterSynergy ; Nikki ; Ordercrazy ; Queryzo ; Sebastian Wallroth ; TweetsFactsAndQueries ; Viele Grüße -- ; Wuselig ; Z thomas
WikidatatalkWikiProjectBiodiversity.json,Renaming to WikiProject Biodiversity,WikidatatalkWikiProjectBiodiversity.json || Renaming to WikiProject Biodiversity,12,Ambrosia10 ; Andrawaag ; ChristianSW ; Culex ; Daniel Mietchen ; DarTar ; Faendalimas ; Friesen5000 ; Lymantria ; Mr. Fulano ; TiagoLubiana ; Tommy Kronkvist
WikidatatalkWikiProjectDisambiguationpagesguidelines.json,March 2013,WikidatatalkWikiProjectDisambiguationpagesguidelines.json || March 2013,11,Bináris ; Filceolaire ; Jmk ; Kolja21 ; Kronf ; Nouill ; Pequod76 ; Saehrimnir ; Sixsi6ma ; Sk!d ; Stryn
WikidatatalkWikiProjectSourceMetaDataArchive2.json,Author names,WikidatatalkWikiProjectSourceMetaDataArchive2.json || Author names,11,Carwil ; Daniel Mietchen ; Fnielsen ; Lagewi ; Magnus Manske ; Mike Peel ; PKM ; Pigsonthewing ; RexxS ; Seav ; Zuphilip
WikidatatalkWikiProjectTaxonomyArchive201308.json,Authority discussion,WikidatatalkWikiProjectTaxonomyArchive201308.json || Authority discussion,11,23PowerZ ; Archaeodontosaurus ; Filceolaire ; Hexasoft ; Liné1 ; Olaf Studt ; Snipre ; Succu ; Superm401 ; TomT0m ; Totodu74
WikidatatalkWikiProjectTaxonomyArchive201511.json,Distinguishing between names and taxa,WikidatatalkWikiProjectTaxonomyArchive201511.json || Distinguishing between names and taxa,11,Brya ; Circeus ; Daniel Mietchen ; Filceolaire ; JoJan ; Kaldari ; Nikki ; Pigsonthewing ; Rdmpage ; Succu ; TomT0m
WikidatatalkWikiProjectVisualarts.json,Canvasing about canvas,WikidatatalkWikiProjectVisualarts.json || Canvasing about canvas,11,Amadalvarez ; Edelseider ; Fuzheado ; Jane023 ; Jarekt ; Marsupium ; Multichill ; PKM ; Shonagon ; Wittylama ; Wuselig
WikidatatalkWikiProjectIndiaArchive1.json,অনুবাদ/Translation,WikidatatalkWikiProjectIndiaArchive1.json || অনুবাদ/Translation,10,Abhinavgarule ; Aftabuzzaman ; Aliva Sahoo ; Daniel Mietchen ; KartikMistry ; Kritzolina ; Lahariyaniyathi ; Psubhashish ; Viswaprabha ; రహ్మానుద్దీన్
WikidatatalkWikiProjectMolecularbiologyArchive1.json,Human/mouse/... ID,WikidatatalkWikiProjectMolecularbiologyArchive1.json || Human/mouse/... ID,10,Andrew Su ; Boghog ; Chandres ; Emw ; Fnielsen ; Marcrr ; MichaK ; Tobias1984 ; TomT0m ; Zolo
