user_1,user_2,weight,example_discussions
Brya,Succu,143,WikidatatalkWikiProjectTaxonomyArchive201307.json || synonyms ; WikidatatalkWikiProjectTaxonomyArchive201308.json || First scientific description ; WikidatatalkWikiProjectTaxonomyArchive201308.json || Phylum and Ordo
Jane023,Multichill,51,WikidatatalkWikiProjectBuiltheritage.json || Irksome issues with p31 ; WikidatatalkWikiProjectBuiltheritage.json || Rijksmonumenten import ; WikidatatalkWikiProjectVisualarts.json || Anonymous works
Snipre,Wostr,44,WikidatatalkWikiProjectChemistry.json || Validation of CAS numbers; collaboration with Wikipedia? ; WikidatatalkWikiProjectChemistryArchive2016.json || Approximate values of dipole moment ; WikidatatalkWikiProjectChemistryArchive2016.json || GHS hazard statements
Succu,TomT0m,39,"WikidatatalkWikiProjectDogbreeds.json || Properties of a dog breed ; WikidatatalkWikiProjectKOS.json || Use of metaclasses ; WikidatatalkWikiProjectOntology.json || X is instance of ""type of X""...!?"
Brya,TomT0m,35,WikidatatalkWikiProjectInfoboxes.json || Taxa are not terms ; WikidatatalkWikiProjectTaxonomyArchive201310.json || Integration with phylogenetic trees ; WikidatatalkWikiProjectTaxonomyArchive201310.json || Taxon
Gzen92,VIGNERON,35,WikidatatalkWikiProjectFrance.json || Bazar dans l'utilisation de P131 ; WikidatatalkWikiProjectFrance.json || code canton INSEE ; WikidatatalkWikiProjectFranceCommunes.json || Alsace-Moselle
Infovarius,Jura1,34,WikidatatalkWikiProjectAncientGreece.json || Index pages about Greek mythology ; WikidatatalkWikiProjectBooks2017.json || Language property ; WikidatatalkWikiProjectBooks2018.json || Collection
Fralambert,VIGNERON,33,WikidatatalkWikiProjectBuiltheritage.json || 3 items for one id. Uncertain criteria on World Heritage codes ; WikidatatalkWikiProjectBuiltheritage.json || Property proposal ; WikidatatalkWikiProjectBuiltheritage.json || Q2806720 and Q11086396
Andrew Gray,Oravrattas,31,WikidatatalkWikiProjectBritishPoliticiansArchive1.json || Cabinet Modelling ; WikidatatalkWikiProjectBritishPoliticiansArchive1.json || Connecting Party and legislative membership? ; WikidatatalkWikiProjectBritishPoliticiansArchive1.json || Country of Constituency?
ArthurPSmith,Snipre,29,WikidatatalkWikiProjectChemistryArchive2017.json || A specific {{Q|Q11344}}  is a class? ; WikidatatalkWikiProjectChemistryArchive2017.json || Calcium sulphate ; WikidatatalkWikiProjectChemistryArchive2017.json || Elements and periods
Chris.urs-o,Sbisolo,28,WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Discovered by ; WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Strunz classification ; WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Varieties
Chris.urs-o,Tobias1984,28,WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Discovered by ; WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Silicates ; WikidatatalkWikiProjectMineralogyPropertiesArchive201304.json || Strunz classification
Jean-Frédéric,Trade,28,WikidatatalkWikiProjectAnimeandManga.json || Splitting shared items for anime/manga/light novels into separate items ; WikidatatalkWikiProjectAnimeandManga.json || Where to store localised titles? ; WikidatatalkWikiProjectLGBTArchive2020.json || Overlap between video game genres
Jura1,VIGNERON,27,WikidatatalkWikiProjectAstronomy.json || coordinate locations other than Earth ; WikidatatalkWikiProjectBooks2017.json || Basic statistics ; WikidatatalkWikiProjectBooks2017.json || Clarification in [[Wikidata:WikiProject Books]] documentation
Egon Willighagen,Snipre,26,WikidatatalkWikiProjectChemistry.json || Validation of CAS numbers; collaboration with Wikipedia? ; WikidatatalkWikiProjectChemistryArchive2016.json || Annotation in which species chemical compounds are found ; WikidatatalkWikiProjectChemistryArchive2016.json || Compounds with several CAS numbers
Jane023,Marsupium,26,WikidatatalkWikiProjectBooks2017.json || Is catalog an instance or a genre? ; WikidatatalkWikiProjectVisualarts.json || Canvasing about canvas ; WikidatatalkWikiProjectVisualarts.json || Changing the way we handle attributed artworks
Jura1,MisterSynergy,25,WikidatatalkWikiProjectCategories.json || Wikidata property usage tracking categories ; WikidatatalkWikiProjectDatasets.json || Using Wikidata to describe datasets ; WikidatatalkWikiProjectNames.json || MacKenzie and Mackenzie
Brya,FelixReimann,24,"WikidatatalkWikiProjectTaxonomyArchive201307.json || synonyms ; WikidatatalkWikiProjectTaxonomyArchive201308.json || ""Recombination"" ; WikidatatalkWikiProjectTaxonomyArchive201308.json || First scientific description"
Infovarius,TomT0m,24,WikidatatalkWikiProjectAncientGreece.json || Index pages about Greek mythology ; WikidatatalkWikiProjectBooks2019.json || Novel used with {{P|31}} instead of {{P|136}} ; WikidatatalkWikiProjectCountrysubdivision.json || A 3 layer model to class subdivisions and their type with {{P|31}} and {{P|279}}
Jane023,PKM,23,WikidatatalkWikiProjectAppliedarts.json || Industrial design and manufactured objects ; WikidatatalkWikiProjectAppliedarts.json || Materials as P31 ; WikidatatalkWikiProjectAppliedarts.json || Scope
