metric,observed,random_mean,random_std,observed_to_random_mean_ratio
nodes,1620.0,1620.0,0.0,1.0
edges,6782.0,6782.0,0.0,1.0
density,0.005171611801218555,0.005171611801218555,0.0,1.0
average_degree,8.37283950617284,8.372839506172841,1.8225036628030615e-15,0.9999999999999998
median_degree,3.0,8.0,0.0,0.375
max_degree,329.0,19.55,1.4680814547887788,16.82864450127877
average_clustering,0.5041946321408047,0.005134153741246253,0.0006318978231320371,98.20403859164873
transitivity,0.16228845591104174,0.005150976235377194,0.0004584494329095004,31.50634918414795
assortativity,-0.14683666980660542,0.000231604044636966,0.01300416818284773,-633.9987284624866
connected_components,202.0,1.45,0.5104177855340404,139.31034482758622
isolated_nodes,186.0,0.45,0.5104177855340405,413.3333333333333
largest_component_size,1397.0,1619.55,0.5104177855340404,0.8625852860362446
average_shortest_path_length_LCC,3.150434927074595,3.713181709806194,0.0020806003469750582,0.8484462041689388
diameter_LCC,8.0,6.35,0.4893604849295929,1.2598425196850394
