editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
TomT0m,2,0.9154648821666583,42.0,186
Succu,2,0.8646647167633873,34.0,157
VIGNERON,2,0.8477685077224123,32.0,187
Brya,2,0.795714201821102,27.0,119
MisterSynergy,2,0.795714201821102,27.0,86
Hsarrazin,2,0.6916348321034187,20.0,71
ValterVB,2,0.6729515843076719,19.0,81
Queryzo,2,0.6729515843076719,19.0,37
Valentina.Anitnelav,2,0.6321205588285577,17.0,33
PKM,2,0.5345291859759385,13.0,124
Epìdosis,2,0.5345291859759385,13.0,81
Harmonia Amanda,2,0.5345291859759385,13.0,28
Snipre,2,0.5345291859759383,13.0,183
Filceolaire,2,0.5345291859759383,13.0,74
ArthurPSmith,2,0.5063272116108697,12.0,119
Jane023,2,0.5063272116108697,12.0,93
Ghouston,2,0.5063272116108697,12.0,68
Pasleim,2,0.5063272116108697,12.0,68
Kam Solusar,2,0.5063272116108697,12.0,24
Jheald,2,0.4764165342850031,11.0,95
EncycloPetey,2,0.4764165342850031,11.0,80
Lymantria,2,0.4764165342850031,11.0,33
Ash Crow,2,0.4446936269980495,10.0,31
Oravrattas,2,0.4446936269980494,10.0,58
Innocent bystander,2,0.41104869024944657,9.0,30
Escudero,2,0.41104869024944646,9.0,14
Pigsonthewing,2,0.3753652719997256,8.0,110
Beat Estermann,2,0.3753652719997256,8.0,24
Lucas Werkmeister (WMDE),1,0.3753652719997256,8.0,21
Dereckson,2,0.3753652719997256,8.0,19
ChristianKl,2,0.33751986460607386,7.0,68
billinghurst,2,0.33751986460607386,7.0,67
Pamputt,2,0.33751986460607386,7.0,30
Place Clichy,2,0.33751986460607386,7.0,11
Multichill,2,0.33751986460607375,7.0,108
FelixReimann,1,0.33751986460607375,7.0,31
Envlh,2,0.33751986460607375,7.0,15
Máté,2,0.33751986460607375,7.0,15
Yair rand,2,0.2973814773370046,6.0,64
Andrew Gray,2,0.2973814773370045,6.0,38
Evolution and evolvability,1,0.2973814773370045,6.0,38
Ghuron,2,0.2973814773370045,6.0,25
Jahl de Vautban,1,0.2973814773370045,6.0,24
Matěj Suchánek,2,0.2973814773370045,6.0,22
SilentSpike,2,0.2973814773370045,6.0,15
Llywrch,1,0.2973814773370045,6.0,11
Bluerasberry,1,0.2548111829865195,5.0,91
