editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Infovarius,1,0.8646647167633873,34.0,182
VIGNERON,1,0.7957142018211019,27.0,187
MisterSynergy,1,0.7702097253269832,25.0,86
TomT0m,1,0.6531363547431077,18.0,186
Queryzo,1,0.6321205588285577,17.0,37
Succu,1,0.58619190082263,15.0,157
ValterVB,1,0.5611200702084451,14.0,81
PKM,1,0.4764165342850031,11.0,124
Jane023,1,0.4764165342850031,11.0,93
Hsarrazin,1,0.4764165342850031,11.0,71
Brya,1,0.4446936269980495,10.0,119
Epìdosis,1,0.4446936269980495,10.0,81
Lymantria,1,0.4446936269980495,10.0,33
Valentina.Anitnelav,1,0.4446936269980495,10.0,33
Harmonia Amanda,1,0.4446936269980495,10.0,28
Jheald,1,0.41104869024944657,9.0,95
Oravrattas,1,0.41104869024944657,9.0,58
Filceolaire,1,0.3753652719997256,8.0,74
Ghouston,1,0.3753652719997256,8.0,68
Pasleim,1,0.3753652719997256,8.0,68
Kam Solusar,1,0.3753652719997256,8.0,24
Lucas Werkmeister (WMDE),1,0.3753652719997256,8.0,21
Escudero,1,0.3753652719997256,8.0,14
ArthurPSmith,1,0.33751986460607375,7.0,119
Pigsonthewing,1,0.2973814773370045,6.0,110
Multichill,1,0.2973814773370045,6.0,108
EncycloPetey,1,0.2973814773370045,6.0,80
Evolution and evolvability,1,0.2973814773370045,6.0,38
Ash Crow,1,0.2973814773370045,6.0,31
Innocent bystander,1,0.2973814773370045,6.0,30
Beat Estermann,1,0.2973814773370045,6.0,24
Jahl de Vautban,1,0.2973814773370045,6.0,24
Envlh,1,0.2973814773370045,6.0,15
Máté,1,0.2973814773370045,6.0,15
Llywrch,1,0.2973814773370045,6.0,11
Snipre,1,0.2548111829865195,5.0,183
Bluerasberry,1,0.2548111829865195,5.0,91
Ainali,1,0.2548111829865195,5.0,49
Fralambert,1,0.2548111829865195,5.0,43
Andrew Gray,1,0.2548111829865195,5.0,38
Susannaanas,1,0.2548111829865195,5.0,33
Ghuron,1,0.2548111829865195,5.0,25
Matěj Suchánek,1,0.2548111829865195,5.0,22
SilentSpike,1,0.2548111829865195,5.0,15
Daniel Mietchen,1,0.20966163701850182,4.0,109
billinghurst,1,0.20966163701850182,4.0,67
Yair rand,1,0.20966163701850182,4.0,64
Alexmar983,1,0.20966163701850182,4.0,59
Tpt,1,0.20966163701850182,4.0,27
Danrok,1,0.20966163701850182,4.0,22
Dereckson,1,0.20966163701850182,4.0,19
GZWDer,1,0.20966163701850182,4.0,16
H4stings,1,0.20966163701850182,4.0,13
Jobu0101,1,0.20966163701850182,4.0,13
Moebeus,1,0.20966163701850182,4.0,12
Romulanus,1,0.20966163701850182,4.0,12
Place Clichy,1,0.20966163701850182,4.0,11
Avatar6,1,0.20966163701850182,4.0,7
FShbib,1,0.20966163701850182,4.0,2
Zolo,1,0.1617765675770001,3.0,97
ChristianKl,1,0.1617765675770001,3.0,68
Pintoch,1,0.1617765675770001,3.0,60
TiagoLubiana,1,0.1617765675770001,3.0,57
Jean-Frédéric,1,0.1617765675770001,3.0,52
Jklamo,1,0.1617765675770001,3.0,47
Trade,1,0.1617765675770001,3.0,45
Christian Ferrer,1,0.1617765675770001,3.0,34
Animalparty,1,0.1617765675770001,3.0,30
Charles Matthews,1,0.1617765675770001,3.0,29
Lea Lacroix (WMDE),1,0.1617765675770001,3.0,28
Shisma,1,0.1617765675770001,3.0,27
Maxlath,1,0.1617765675770001,3.0,26
Сидик из ПТУ,1,0.1617765675770001,3.0,26
Ivan A. Krestinin,1,0.1617765675770001,3.0,25
Sj,1,0.1617765675770001,3.0,23
Nomen ad hoc,1,0.1617765675770001,3.0,13
Richard Nevell,1,0.1617765675770001,3.0,10
Ham II,1,0.1617765675770001,3.0,8
Harry Canyon,1,0.1617765675770001,3.0,6
Hazmat2,1,0.1617765675770001,3.0,6
Wolbo,1,0.1617765675770001,3.0,5
Paweł Ziemian,1,0.1617765675770001,3.0,4
Peteforsyth,1,0.1617765675770001,3.0,3
Kolja21,1,0.11099023459722435,2.0,131
Vladimir Alexiev,1,0.11099023459722435,2.0,56
