editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Infovarius,182,1.0,1.0,1.0,1.0,107,0.26485148514851486,1,{'Jura1': 1},0.9940669027037995,1.0,1.0,0.99970334513519,1,very_high
VIGNERON,187,1.0,1.0,0.7941176470588235,1.0,100,0.2403846153846154,1,{'Jura1': 1},1.0,0.9345794392523364,0.9076204169662113,0.9262073413117944,2,very_high
TomT0m,186,1.0,1.0,0.5294117647058824,1.0,81,0.18663594470046083,1,{'Jura1': 1},0.998826106112204,0.7570093457943925,0.7046815108316464,0.804164266724124,3,very_high
MisterSynergy,86,1.0,1.0,0.7352941176470589,1.0,46,0.12466124661246612,1,{'Jura1': 1},0.8304019701335829,0.42990654205607476,0.4706835853405263,0.7583932948637115,4,very_high
PKM,124,1.0,1.0,0.3235294117647059,1.0,73,0.19210526315789472,1,{'Jura1': 1},0.910169107423901,0.6822429906542056,0.7253320216428922,0.735372608607502,5,very_high
Succu,157,1.0,1.0,0.4411764705882353,1.0,64,0.15165876777251186,1,{'Jura1': 1},0.9617354941437188,0.5981308411214953,0.5726181512158391,0.7352688757001277,6,high
ValterVB,81,1.0,1.0,0.4117647058823529,1.0,51,0.14206128133704735,1,{'Jura1': 1},0.8173742283235396,0.4766355140186916,0.5363809127118423,0.6927750819616878,7,high
Jheald,95,1.0,1.0,0.2647058823529412,1.0,60,0.16483516483516483,1,{'Jura1': 1},0.8520690812348501,0.5607476635514018,0.6223682859196877,0.683166285952227,8,high
Snipre,183,1.0,1.0,0.14705882352941177,1.0,70,0.1583710407239819,1,{'Jura1': 1},0.9952663856844838,0.6542056074766355,0.5979616864718569,0.67716531530909,9,high
Jane023,93,1.0,1.0,0.3235294117647059,1.0,50,0.13440860215053763,1,{'Jura1': 1},0.8474351293988407,0.4672897196261682,0.5074866847553009,0.6674607218118823,10,high
