page_name,thread_subject,discussion_id,group_size,users
WikidataBotrequestsArchive201308.json,Remove obsolete ''{{P|143}}->Wikipedia''-based sources,WikidataBotrequestsArchive201308.json || Remove obsolete ''{{P|143}}->Wikipedia''-based sources,18,Closeapple ; Docu ; Emw ; FelixReimann ; HenkvD ; Infovarius ; Izno ; Kizar ; Kolja21 ; Lavallen ; Lydia Pintscher (WMDE) ; Multichill ; Pichpich ; Ricordisamoa ; Succu ; Wylve ; Yair rand ; Zolo
WikidataBotrequestsArchive201311.json,Wikidata Freebase mappings,WikidataBotrequestsArchive201311.json || Wikidata Freebase mappings,10,Alexpl ; Ayack ; Conny ; Denny ; Emw ; Kolja21 ; PinkAmpersand ; Succu ; Tobias1984 ; Tpt
WikidataBotrequestsArchive201312.json,Create items for Wikipedia articles,WikidataBotrequestsArchive201312.json || Create items for Wikipedia articles,10,Bene* ; GZWDer ; Ladsgroup ; Lavallen ; Magnus Manske ; Multichill ; Nemo_bis ; Succu ; Ymblanter ; Zolo
WikidataBotrequestsArchive201603.json,Talk pages of constraint reports,WikidataBotrequestsArchive201603.json || Talk pages of constraint reports,10,Averater ; Brya ; Innocent bystander ; Jura1 ; Matěj Suchánek ; Multichill ; Pasleim ; Pigsonthewing ; Succu ; ValterVB
WikidataBotrequestsArchive201707.json,Taxon labels,WikidataBotrequestsArchive201707.json || Taxon labels,10,Brya ; Innocent bystander ; Izno ; Kaldari ; Matěj Suchánek ; Nikki ; Pigsonthewing ; Succu ; ValterVB ; XXN
WikidataBotrequestsArchive201311.json,Birth and death dates from prepared list,WikidataBotrequestsArchive201311.json || Birth and death dates from prepared list,9,Byrial ; Coyau ; Daniel Mietchen ; Docu ; Lavallen ; Magnus Manske ; Pyb ; Ricordisamoa ; Sk!d
WikidataBotrequestsArchive201408.json,"Move values, qualifiers and references from {{P|31}} to {{P|1435}}","WikidataBotrequestsArchive201408.json || Move values, qualifiers and references from {{P|31}} to {{P|1435}}",9,Ayack ; Emw ; Fralambert ; Micru ; Multichill ; PKM ; Pasleim ; TomT0m ; Zolo
WikidataBotrequestsArchive201605.json,labels from name properties,WikidataBotrequestsArchive201605.json || labels from name properties,9,Ash Crow ; Dereckson ; Harmonia Amanda ; Innocent bystander ; Jura1 ; Matěj Suchánek ; Nikki ; Pigsonthewing ; TomT0m
WikidataBotrequestsArchive201705.json,Add category descriptions to all items with {{P|31}} {{Q|Q29848066}},WikidataBotrequestsArchive201705.json || Add category descriptions to all items with {{P|31}} {{Q|Q29848066}},9,Anonymous_username_38 ; Anonymous_username_39 ; Pasleim ; Pigsonthewing ; PokestarFan ; Snipre ; Succu ; ValterVB ; XXN
WikidataBotrequestsArchive202004.json,Orthographische Verbesserung,WikidataBotrequestsArchive202004.json || Orthographische Verbesserung,9,Anonymous_username_60 ; Edoderoo ; Egon Willighagen ; Jura1 ; Les Meloures ; Mike Peel ; Nikki ; Pyfisch ; Ymblanter
WikidataBotrequestsArchive201304.json,Gujarati Wikipedia : description adding,WikidataBotrequestsArchive201304.json || Gujarati Wikipedia : description adding,8,Bene* ; Carsrac ; Gabbe ; Ljubinka ; Nizil Shah ; Ricordisamoa ; Rondador ; ValterVB
WikidataBotrequestsArchive201603.json,Import {{P|569}}/{{P|570}} from Wikipedia,WikidataBotrequestsArchive201603.json || Import {{P|569}}/{{P|570}} from Wikipedia,8,Jc3s5h ; Jura1 ; Multichill ; Pasleim ; Pigsonthewing ; Pinky sl ; Sjoerddebruin ; Vlsergey
WikidataBotrequestsArchive201702.json,Adding French census data to Wikidata,WikidataBotrequestsArchive201702.json || Adding French census data to Wikidata,8,ChristianKl ; Oliv0 ; Pintoch ; Roland45 ; Snipre ; Tubezlob ; VIGNERON ; ValterVB
WikidataBotrequestsArchive201702.json,Take care of disambiguation items,WikidataBotrequestsArchive201702.json || Take care of disambiguation items,8,Edgars2007 ; Innocent bystander ; Jura1 ; Matěj Suchánek ; Pasleim ; Stryn ; ValterVB ; Vladimir Alexiev
WikidataBotrequestsArchive201710.json,OpenStreetMap objects,WikidataBotrequestsArchive201710.json || OpenStreetMap objects,8,Abbe98 ; ChristianKl ; Jc86035 ; Mateusz Konieczny ; Pigsonthewing ; Sabas88 ; Thierry Caro ; VIGNERON
WikidataBotrequests.json,request to depreciated ethnic group only sourced with P143 (2021-10-23),WikidataBotrequests.json || request to depreciated ethnic group only sourced with P143 (2021-10-23),7,BrokenSegue ; Eru ; Fralambert ; Hsarrazin ; Jura1 ; MisterSynergy ; Vojtěch Dostál
WikidataBotrequestsArchive201401.json,Sports Statistics Update Bot,WikidataBotrequestsArchive201401.json || Sports Statistics Update Bot,7,Bene* ; Legoktm ; Newyorkadam ; Resolute ; ValterVB ; Ymblanter ; Zuphilip
WikidataBotrequestsArchive201404.json,wrong category item descriptions,WikidataBotrequestsArchive201404.json || wrong category item descriptions,7,-jkb- ; Akkakk ; Matěj Suchánek ; October wind ; Pasleim ; Popcorndude ; ValterVB
WikidataBotrequestsArchive201406.json,Importing Commons Categories (P373),WikidataBotrequestsArchive201406.json || Importing Commons Categories (P373),7,Caliburn ; George.Edward.C ; Jura1 ; Pasleim ; Pütz M. ; Sjoerddebruin ; Stryn
WikidataBotrequestsArchive201410.json,Import Persondata from English Wikipedia,WikidataBotrequestsArchive201410.json || Import Persondata from English Wikipedia,7,76.24.193.7 ; Crazy1880 ; Jc3s5h ; Jheald ; Kaldari ; Pigsonthewing ; Zolo
