node_id,username,degree,comment_count,page_count,discussion_count
368,Pasleim,226,297,70,297
270,Jura1,198,327,78,327
319,Matěj Suchánek,152,135,64,135
494,ValterVB,98,62,36,62
376,Pigsonthewing,94,99,39,99
167,Edoderoo,82,59,34,59
342,Multichill,82,42,26,42
398,Ricordisamoa,68,52,16,52
444,Succu,68,25,21,25
429,Sjoerddebruin,63,40,23,40
165,Edgars2007,62,57,22,57
530,Zolo,58,29,21,29
351,Nikki,53,35,16,35
236,Innocent bystander,49,30,18,30
240,Izno,48,18,15,18
432,Snipre,48,22,19,22
503,Vojtěch Dostál,48,43,14,43
174,Emw,47,14,9,14
199,GZWDer,47,41,24,41
235,Infovarius,46,29,27,29
