user_1,user_2,weight,example_discussions
Jura1,Pasleim,64,"WikidataBotrequestsArchive201406.json || Importing Commons Categories (P373) ; WikidataBotrequestsArchive201407.json || Changing ""french actress"" to ""French actress"" ; WikidataBotrequestsArchive201411.json || Fill out ""symmetric"" statements"
Jura1,Matěj Suchánek,40,WikidataBotrequests.json || Parts for duos (14 September 2021) ; WikidataBotrequests.json || request to automate marking preferred_rank for full dates. (2021-05-28) ; WikidataBotrequestsArchive201508.json || Follow/replace - qualifiers for {{P|39}}
Pasleim,Pigsonthewing,40,WikidataBotrequestsArchive201410.json || Final conclusion ; WikidataBotrequestsArchive201410.json || Import PLACE OF BIRTH and PLACE OF DEATH from Persondata ; WikidataBotrequestsArchive201410.json || Import SHORT DESCRIPTION from Persondata
Matěj Suchánek,Pasleim,30,WikidataBotrequestsArchive201310.json || disambiguation pages causing constraint violations ; WikidataBotrequestsArchive201403.json || Cleaning aliases ; WikidataBotrequestsArchive201404.json || wrong category item descriptions
Pasleim,ValterVB,27,WikidataBotrequestsArchive201310.json || Migrate P107 term & disambiguation claims ; WikidataBotrequestsArchive201310.json || disambiguation pages causing constraint violations ; WikidataBotrequestsArchive201402.json || UN security council resolutions
Edoderoo,Jura1,26,WikidataBotrequests.json || request to add YOB and/or YOD to TP descriptions (2021-09-01) ; WikidataBotrequests.json || request to remove ±1 (in width and height) from paintings (2021-11-15) ; WikidataBotrequestsArchive201510.json || Clean up of P57 claims
Jura1,Pigsonthewing,21,"WikidataBotrequestsArchive201411.json || Fill out ""symmetric"" statements ; WikidataBotrequestsArchive201505.json || List of Wikidata items with VIAF numbers ; WikidataBotrequestsArchive201508.json || Propagating labels from en/de/fr/es for artists to other euro languages"
Pasleim,Sjoerddebruin,21,WikidataBotrequestsArchive201405.json || Intel processors ; WikidataBotrequestsArchive201406.json || Importing Commons Categories (P373) ; WikidataBotrequestsArchive201408.json || English descriptions
Matěj Suchánek,Pigsonthewing,18,WikidataBotrequestsArchive201503.json || Occupations on lists ; WikidataBotrequestsArchive201603.json || Talk pages of constraint reports ; WikidataBotrequestsArchive201605.json || labels from name properties
Edgars2007,Jura1,17,"WikidataBotrequestsArchive201511.json || Remove ""was a"", ""is a"" etc at the beginning of English descriptions ; WikidataBotrequestsArchive201512.json || Recurent ARWIKI articles ; WikidataBotrequestsArchive201602.json || Changing values (P1417)"
Innocent bystander,Jura1,17,"WikidataBotrequestsArchive201507.json || 100 000 localities of Mexico ; WikidataBotrequestsArchive201507.json || Adding [[Q20651139]] to source section ; WikidataBotrequestsArchive201507.json || Remove ""(disambiguation)"" from English labels"
Jura1,Vojtěch Dostál,16,WikidataBotrequests.json || Parts for duos (14 September 2021) ; WikidataBotrequests.json || request to add YOB and/or YOD to TP descriptions (2021-09-01) ; WikidataBotrequests.json || request to automate marking preferred_rank for full dates. (2021-05-28)
Jura1,XXN,16,WikidataBotrequestsArchive201512.json || Connecting pages ; WikidataBotrequestsArchive201512.json || mark Hidden categories as Administrative ; WikidataBotrequestsArchive201602.json || Double redirects
Jura1,Nikki,14,WikidataBotrequestsArchive201507.json || missing pairs items ; WikidataBotrequestsArchive201510.json || Authors ; WikidataBotrequestsArchive201510.json || Hierarchic data for German places
Innocent bystander,Pasleim,13,"WikidataBotrequestsArchive201507.json || 100 000 localities of Mexico ; WikidataBotrequestsArchive201507.json || Remove ""(disambiguation)"" from English labels ; WikidataBotrequestsArchive201508.json || Propagating labels from en/de/fr/es for artists to other euro languages"
Multichill,Pasleim,13,WikidataBotrequestsArchive201405.json || Importing coordinates from Polish Wikipedia ; WikidataBotrequestsArchive201405.json || Importing images from da.wikipedia ; WikidataBotrequestsArchive201407.json || Coordinates of headquarters move
Nikki,Pasleim,13,"WikidataBotrequestsArchive201505.json || Labels of elements in en-GB ; WikidataBotrequestsArchive201505.json || List all items using ""nl-informal"" ; WikidataBotrequestsArchive201507.json || Ladino Wikipedia"
Edgars2007,Matěj Suchánek,12,WikidataBotrequestsArchive201601.json || HTML entities in monolingual strings ; WikidataBotrequestsArchive201607.json || Get GeoNames ID from the Cebuano or Swedish Wikipedia ; WikidataBotrequestsArchive201608.json || Category:Commons category without a link on Wikidata
Jura1,Pyfisch,12,"WikidataBotrequestsArchive201601.json || Replacing ""(OBSOLETE) title"" (P357) with ""title"" (P1476) ; WikidataBotrequestsArchive201601.json || Too many people born on January 1 ; WikidataBotrequestsArchive201603.json || Import names in Latin script from kowiki"
Edgars2007,Pasleim,10,"WikidataBotrequestsArchive201506.json || Import coordinates from Wikipedia ; WikidataBotrequestsArchive201511.json || Remove ""was a"", ""is a"" etc at the beginning of English descriptions ; WikidataBotrequestsArchive201607.json || GoodReads IDs"
