metric,observed,random_mean,random_std,observed_to_random_mean_ratio
nodes,552.0,552.0,0.0,1.0
edges,2424.0,2424.0,0.0,1.0
density,0.015939398721691787,0.01593939872169179,3.5595774664122295e-18,0.9999999999999998
average_degree,8.782608695652174,8.782608695652176,1.8225036628030615e-15,0.9999999999999998
median_degree,3.0,8.8,0.4103913408340616,0.3409090909090909
max_degree,226.0,18.75,1.0699237552766379,12.053333333333333
average_clustering,0.6576402779180823,0.015404836390900298,0.0013261355548398485,42.69050713881994
transitivity,0.17452249325333402,0.01579051719535691,0.0014884762471365995,11.052360799470907
assortativity,-0.27828146563628037,0.0021497654715043088,0.022100269090875847,-129.44736033998703
connected_components,29.0,1.05,0.22360679774997902,27.619047619047617
isolated_nodes,25.0,0.05,0.22360679774997894,500.0
largest_component_size,519.0,551.95,0.22360679774997902,0.9403025636380106
average_shortest_path_length_LCC,2.60280759702725,3.143657654426375,0.0034666341034257663,0.8279551666074103
diameter_LCC,6.0,5.35,0.4893604849295929,1.1214953271028039
