graph_id,nodes,edges,density,average_degree,median_degree,max_degree,average_clustering,transitivity,assortativity,connected_components,isolated_nodes,largest_component_size,average_shortest_path_length_LCC,diameter_LCC,path_metric_method
1,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.01576047907948231,0.015425255908297561,-0.0156472021874959,1,0,552,3.1420079433967225,5,exact
2,552,2424,0.015939398721691787,8.782608695652174,9.0,20,0.015609856969730438,0.015306122448979591,0.0025496222611227338,1,0,552,3.1465254214997764,6,exact
3,552,2424,0.015939398721691787,8.782608695652174,9.0,18,0.015552408127536006,0.017638824078394774,0.03741633541036923,1,0,552,3.147952339619664,6,exact
4,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.01723842592187928,0.01774731208037936,-0.016467333721165135,1,0,552,3.145913885162682,5,exact
5,552,2424,0.015939398721691787,8.782608695652174,8.0,17,0.015393949377325336,0.015885660731021555,-0.010959539049262427,1,0,552,3.139647281622347,5,exact
6,552,2424,0.015939398721691787,8.782608695652174,8.0,19,0.014060960290264369,0.014199839068490558,-0.006181403871571693,1,0,552,3.144835476998343,5,exact
7,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.014760206951282466,0.015295911560087678,0.030180945612946316,1,0,552,3.1469791420079436,5,exact
8,552,2424,0.015939398721691787,8.782608695652174,9.0,18,0.016719918094598402,0.016277962874821514,0.014399664715229401,1,0,552,3.1446710855098767,5,exact
9,552,2424,0.015939398721691787,8.782608695652174,9.0,17,0.014861912088574493,0.015999251497005988,0.014884710272664387,1,0,552,3.1454075593782056,6,exact
10,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.01375746750544839,0.014603714731320005,0.007807987875194401,1,0,552,3.140416633788369,5,exact
11,552,2424,0.015939398721691787,8.782608695652174,8.0,19,0.0174818098020245,0.0185802092619528,0.0034137224862170077,1,0,552,3.14543386201636,6,exact
12,552,2424,0.015939398721691787,8.782608695652174,8.0,19,0.01678903399188767,0.016989145823501653,0.004832726808278691,1,0,552,3.14177779531287,5,exact
13,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.014981514901170978,0.014766434757915661,-0.009226075695855042,1,0,552,3.139837975748968,5,exact
14,552,2424,0.015939398721691787,8.782608695652174,9.0,18,0.016738639308971792,0.017152497891086325,-0.030862254443963767,1,0,552,3.1384242089481575,5,exact
15,552,2424,0.015939398721691787,8.782608695652174,9.0,17,0.014353282232118549,0.016073968705547653,0.0039146056696468525,1,0,552,3.1483205765538282,5,exact
16,552,2424,0.015939398721691787,8.782608695652174,9.0,21,0.016793357786004846,0.016489659027389605,-0.031482681347879,2,1,551,3.1372578782379144,5,exact
17,552,2424,0.015939398721691787,8.782608695652174,9.0,20,0.0137834829074397,0.01353212098190969,0.052987106170120535,1,0,552,3.1490438991030802,6,exact
18,552,2424,0.015939398721691787,8.782608695652174,9.0,20,0.014549776166834318,0.014940800601390716,0.009230708707035516,1,0,552,3.145098503379889,6,exact
19,552,2424,0.015939398721691787,8.782608695652174,9.0,19,0.012650075267856935,0.012463412331224624,-0.028399311601758764,1,0,552,3.140962413530077,6,exact
20,552,2424,0.015939398721691787,8.782608695652174,9.0,18,0.01626017104757514,0.01644223954642098,0.010602975360212838,1,0,552,3.1426392067124334,5,exact
