editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Matěj Suchánek,2,0.8878031094796562,70.0,152
Pigsonthewing,2,0.8513632694618775,61.0,94
ValterVB,2,0.685336038981541,37.0,98
Edoderoo,2,0.6544092474230254,34.0,82
Sjoerddebruin,2,0.6204428118169104,31.0,63
Innocent bystander,2,0.608394373323201,30.0,49
Edgars2007,2,0.5699053593599377,27.0,62
Nikki,2,0.5699053593599377,27.0,53
XXN,2,0.5276334472589853,24.0,43
Multichill,2,0.48120683434611067,21.0,82
Infovarius,2,0.430217175269077,18.0,46
Vojtěch Dostál,2,0.4121303268776535,17.0,48
ChristianKl,2,0.35435147357210794,14.0,42
Pyfisch,2,0.35435147357210794,14.0,41
Jc3s5h,2,0.35435147357210794,14.0,31
Stryn,2,0.3338563892965122,13.0,32
Zolo,2,0.2908938175626016,11.0,58
MisterSynergy,2,0.2908938175626016,11.0,27
Izno,2,0.2683843710533581,10.0,48
GZWDer,2,0.2683843710533581,10.0,47
Jonathan Groß,2,0.2683843710533581,10.0,14
Succu,2,0.24516039801099265,9.0,68
Ladsgroup,2,0.24516039801099265,9.0,33
Jarekt,2,0.24516039801099265,9.0,24
Fralambert,2,0.22119921692859512,8.0,17
Andrew Gray,2,0.22119921692859512,8.0,12
Ricordisamoa,1,0.19647742631093923,7.0,68
Snipre,2,0.19647742631093923,7.0,48
Magnus Manske,2,0.19647742631093923,7.0,36
PKM,2,0.19647742631093923,7.0,28
Jklamo,2,0.19647742631093923,7.0,12
Vlsergey,2,0.19647742631093923,7.0,12
Kaldari,2,0.17097088181959963,6.0,24
Gymel,2,0.17097088181959963,6.0,12
Airon90,2,0.17097088181959963,6.0,11
Leyo,2,0.17097088181959963,6.0,9
Ju gatsu mikka,1,0.14465467269257748,5.0,2
Emw,2,0.14465467269257737,5.0,47
Vladimir Alexiev,2,0.14465467269257737,5.0,22
Epìdosis,2,0.14465467269257737,5.0,21
Steak,2,0.14465467269257737,5.0,14
Ivan A. Krestinin,2,0.14465467269257737,5.0,13
PokestarFan,2,0.14465467269257737,5.0,13
Agabi10,2,0.14465467269257737,5.0,9
Laboramus,2,0.14465467269257737,5.0,7
Jane023,2,0.14465467269257737,5.0,6
John Cummings,2,0.14465467269257737,5.0,5
TomT0m,2,0.11750309741540454,4.0,27
Pintoch,2,0.11750309741540454,4.0,24
Jheald,2,0.11750309741540454,4.0,19
Micru,1,0.11750309741540454,4.0,18
Mike Peel,1,0.11750309741540454,4.0,16
BrokenSegue,1,0.11750309741540454,4.0,14
-revi,2,0.11750309741540454,4.0,13
Popcorndude,1,0.11750309741540454,4.0,11
Llywelyn2000,2,0.11750309741540454,4.0,10
George.Edward.C,2,0.11750309741540454,4.0,9
MechQuester,2,0.11750309741540454,4.0,9
Laddo,1,0.11750309741540454,4.0,8
Charles Matthews,2,0.11750309741540454,4.0,6
J 1982,2,0.11750309741540454,4.0,3
Taketa,1,0.11750309741540454,4.0,2
Ayack,1,0.08948963861996584,3.0,32
Kolja21,1,0.08948963861996584,3.0,32
VIGNERON,2,0.08948963861996584,3.0,21
Nemo_bis,1,0.08948963861996584,3.0,20
JulesWinnfield-hu,1,0.08948963861996584,3.0,16
">
Task completed ''(",1,0.08948963861996584,3.0,15
Daniel Mietchen,2,0.08948963861996584,3.0,15
Mateusz Konieczny,2,0.08948963861996584,3.0,13
Richard Arthur Norton (1958- ),2,0.08948963861996584,3.0,12
Thgoiter,1,0.08948963861996584,3.0,12
Abián,2,0.08948963861996584,3.0,11
Averater,2,0.08948963861996584,3.0,10
Pere prlpz,2,0.08948963861996584,3.0,10
Arctic.gnome,1,0.08948963861996584,3.0,9
Pütz M.,2,0.08948963861996584,3.0,9
Yamaha5,2,0.08948963861996584,3.0,9
Shlomo,2,0.08948963861996584,3.0,8
EncycloPetey,2,0.08948963861996584,3.0,7
Tozibb,2,0.08948963861996584,3.0,7
ديفيد عادل وهبة خليل 2,2,0.08948963861996584,3.0,7
91.9.109.131,2,0.08948963861996584,3.0,6
Ham II,2,0.08948963861996584,3.0,6
Kanashimi,1,0.08948963861996584,3.0,6
Mbch331,2,0.08948963861996584,3.0,6
Sergey kudryavtsev,2,0.08948963861996584,3.0,6
Yurik,2,0.08948963861996584,3.0,6
Mahir256,1,0.08948963861996584,3.0,5
Periglio,1,0.08948963861996584,3.0,5
Syced,2,0.08948963861996584,3.0,5
Datawiki30,1,0.08948963861996584,3.0,4
Dr Zimbu,1,0.08948963861996584,3.0,4
