editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Matěj Suchánek,152,1.0,1.0,1.09375,1.0,165,0.3011049723756906,1,"{'Pasleim': 1, 'Jura1': 1}",1.0,1.0,1.0,1.01875,1,very_high
Pigsonthewing,94,1.0,1.0,0.953125,1.0,130,0.22551928783382788,1,"{'Pasleim': 1, 'Jura1': 1}",0.8901247211063318,0.7865853658536586,0.7463480025663923,0.9511071727690021,2,very_high
ValterVB,98,1.0,1.0,0.578125,1.0,118,0.23008849557522124,1,"{'Pasleim': 1, 'Jura1': 1}",0.8996336429191529,0.7134146341463414,0.7616814440416975,0.8700322177626767,3,very_high
Edoderoo,82,1.0,1.0,0.53125,1.0,94,0.18991097922848665,1,"{'Pasleim': 1, 'Jura1': 1}",0.8589909346315925,0.5670731707317073,0.6268529069312562,0.8372495091513131,4,very_high
Sjoerddebruin,63,1.0,1.0,0.484375,1.0,93,0.16463414634146342,1,"{'Pasleim': 1, 'Jura1': 1}",0.7990554726184946,0.5609756097560976,0.5420283903650542,0.8200267541247873,5,very_high
Multichill,82,1.0,1.0,0.328125,1.0,105,0.20059880239520958,1,"{'Pasleim': 1, 'Jura1': 1}",0.8589909346315925,0.6341463414634146,0.6627193241091675,0.8051251470833793,6,high
Innocent bystander,49,1.0,1.0,0.46875,1.0,80,0.1393188854489164,1,"{'Pasleim': 1, 'Jura1': 1}",0.7421397404985529,0.4817073170731707,0.45707491630620567,0.801881464547555,7,high
Edgars2007,62,1.0,1.0,0.421875,1.0,82,0.14414414414414414,1,"{'Pasleim': 1, 'Jura1': 1}",0.7954245523253543,0.49390243902439024,0.4732676188476575,0.7971998524610897,8,high
Nikki,53,1.0,1.0,0.421875,1.0,80,0.1588785046728972,1,"{'Pasleim': 1, 'Jura1': 1}",0.7598837760578009,0.4817073170731707,0.5227134894735321,0.7966755949838839,9,high
XXN,43,1.0,1.0,0.375,1.0,63,0.11384615384615385,1,"{'Pasleim': 1, 'Jura1': 1}",0.7126666479280169,0.3780487804878049,0.3715929987937381,0.7670178603848683,10,high
Infovarius,46,1.0,1.0,0.28125,1.0,59,0.11280487804878049,1,"{'Pasleim': 1, 'Jura1': 1}",0.7278738294920404,0.35365853658536583,0.3680986640201112,0.7464144783341442,11,medium
Succu,68,1.0,1.0,0.140625,1.0,80,0.15178571428571427,1,"{'Pasleim': 1, 'Jura1': 1}",0.8163988848388039,0.4817073170731707,0.49891135736357667,0.7420612438174362,12,medium
Zolo,58,1.0,1.0,0.171875,1.0,68,0.13897280966767372,1,"{'Pasleim': 1, 'Jura1': 1}",0.7803005298870469,0.40853658536585363,0.45591354806951284,0.7370393624344134,13,medium
Vojtěch Dostál,48,1.0,1.0,0.265625,1.0,51,0.09880239520958084,1,"{'Pasleim': 1, 'Jura1': 1}",0.7374818310973396,0.3048780487804878,0.32110884362329145,0.7365423386140805,14,medium
ChristianKl,42,1.0,1.0,0.21875,1.0,62,0.10397553516819572,1,"{'Pasleim': 1, 'Jura1': 1}",0.7073662151006141,0.3719512195121951,0.33846897327561376,0.733236881370031,15,medium
Izno,48,1.0,1.0,0.15625,1.0,69,0.13271604938271606,1,"{'Pasleim': 1, 'Jura1': 1}",0.7374818310973396,0.4146341463414634,0.4349169830008482,0.7313333553390557,16,medium
Pyfisch,41,1.0,1.0,0.21875,1.0,51,0.10429447852760736,1,"{'Pasleim': 1, 'Jura1': 1}",0.7019410548297863,0.3048780487804878,0.33953928997213245,0.7263118221181448,17,medium
GZWDer,47,1.0,1.0,0.15625,1.0,64,0.11926605504587157,1,"{'Pasleim': 1, 'Jura1': 1}",0.7327278755903639,0.38414634146341464,0.38978121490283213,0.7257900886710013,18,medium
Stryn,32,1.0,1.0,0.203125,1.0,48,0.09006211180124224,1,"{'Pasleim': 1, 'Jura1': 1}",0.646339050899886,0.2865853658536585,0.29177802049059837,0.7161893901548901,19,medium
Jc3s5h,31,1.0,1.0,0.21875,1.0,46,0.07692307692307693,1,"{'Pasleim': 1, 'Jura1': 1}",0.6392443780947958,0.27439024390243905,0.24768577655053528,0.7155355321225105,20,medium
Snipre,48,1.0,1.0,0.109375,1.0,57,0.11890243902439024,1,"{'Pasleim': 1, 'Jura1': 1}",0.7374818310973396,0.34146341463414637,0.388560984766575,0.7123234822566104,21,lower
Emw,47,1.0,1.0,0.078125,1.0,51,0.10574018126888217,1,"{'Pasleim': 1, 'Jura1': 1}",0.7327278755903639,0.3048780487804878,0.3443908090162776,0.6999687391083809,22,lower
MisterSynergy,27,1.0,1.0,0.171875,1.0,39,0.07453416149068323,1,"{'Pasleim': 1, 'Jura1': 1}",0.6084575573342181,0.23170731707317074,0.23966900492506923,0.6999520598202815,23,lower
Ladsgroup,33,1.0,1.0,0.140625,1.0,42,0.07975460122699386,1,"{'Pasleim': 1, 'Jura1': 1}",0.6532219104851651,0.25,0.2571878641458729,0.698645488731552,24,lower
Magnus Manske,36,1.0,1.0,0.109375,1.0,44,0.0856269113149847,1,"{'Pasleim': 1, 'Jura1': 1}",0.6727173497076308,0.2621951219512195,0.2768942833229518,0.6955750938466511,25,lower
PKM,28,1.0,1.0,0.109375,1.0,37,0.06769230769230769,1,"{'Pasleim': 1, 'Jura1': 1}",0.6165481654829666,0.21951219512195122,0.21670897098973455,0.6854890763358301,26,lower
Jarekt,24,1.0,1.0,0.140625,1.0,31,0.06191950464396285,1,"{'Pasleim': 1, 'Jura1': 1}",0.582328645974854,0.18292682926829268,0.1973364795863855,0.6854009392048913,27,lower
Kaldari,24,1.0,1.0,0.09375,1.0,40,0.06853582554517133,1,"{'Pasleim': 1, 'Jura1': 1}",0.582328645974854,0.23780487804878048,0.2195396655788835,0.682623903382565,28,lower
TomT0m,27,1.0,1.0,0.0625,1.0,38,0.0778816199376947,1,"{'Pasleim': 1, 'Jura1': 1}",0.6084575573342181,0.22560975609756098,0.25090247494729545,0.6780289772238318,29,lower
Jonathan Groß,14,1.0,1.0,0.15625,1.0,25,0.0438871473354232,1,"{'Pasleim': 1, 'Jura1': 1}",0.4645533677448445,0.14634146341463414,0.1368231234201879,0.6759529708997151,30,lower
Ymblanter,35,1.0,1.0,0.03125,1.0,38,0.07598784194528875,1,"{'Pasleim': 1, 'Jura1': 1}",0.6664002785622328,0.22560975609756098,0.24454729574396983,0.6743583543250663,31,lower
Fralambert,17,1.0,1.0,0.125,1.0,26,0.05329153605015674,1,"{'Pasleim': 1, 'Jura1': 1}",0.5065891840385338,0.1524390243902439,0.16838256482225758,0.673992489882064,32,lower
Pintoch,24,1.0,1.0,0.0625,1.0,31,0.06521739130434782,1,"{'Pasleim': 1, 'Jura1': 1}",0.582328645974854,0.18292682926829268,0.20840359558575175,0.6703292950048596,33,lower
Vladimir Alexiev,22,1.0,1.0,0.078125,1.0,30,0.05246913580246913,1,"{'Pasleim': 1, 'Jura1': 1}",0.5631042928195369,0.17682926829268292,0.16562273712763215,0.6697442783266268,34,lower
Brya,21,1.0,1.0,0.03125,1.0,33,0.059190031152647975,1,"{'Pasleim': 1, 'Jura1': 1}",0.552855553404318,0.1951219512195122,0.1881768562104716,0.6628138156026907,35,lower
Andrew Gray,12,1.0,1.0,0.125,1.0,19,0.034375,1,"{'Pasleim': 1, 'Jura1': 1}",0.431560227051397,0.10975609756097561,0.10490206341871951,0.6627987242796034,36,lower
