editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Jura1,1,0.8646647167633873,64.0,198
Pigsonthewing,1,0.7134952031398099,40.0,94
Matěj Suchánek,1,0.608394373323201,30.0,152
ValterVB,1,0.5699053593599377,27.0,98
Sjoerddebruin,1,0.48120683434611067,21.0,63
Multichill,1,0.3338563892965122,13.0,82
Nikki,1,0.3338563892965122,13.0,53
Innocent bystander,1,0.3338563892965122,13.0,49
Edgars2007,1,0.2683843710533582,10.0,62
Zolo,1,0.24516039801099265,9.0,58
Infovarius,1,0.24516039801099265,9.0,46
Stryn,1,0.24516039801099265,9.0,32
Edoderoo,1,0.22119921692859512,8.0,82
XXN,1,0.22119921692859512,8.0,43
ChristianKl,1,0.22119921692859512,8.0,42
Ricordisamoa,1,0.19647742631093923,7.0,68
GZWDer,1,0.19647742631093923,7.0,47
Ladsgroup,1,0.19647742631093923,7.0,33
Izno,1,0.17097088181959963,6.0,48
Jonathan Groß,1,0.17097088181959963,6.0,14
Jklamo,1,0.17097088181959963,6.0,12
Succu,1,0.14465467269257748,5.0,68
Fralambert,1,0.14465467269257748,5.0,17
Airon90,1,0.14465467269257748,5.0,11
Ju gatsu mikka,1,0.14465467269257748,5.0,2
Emw,1,0.11750309741540454,4.0,47
Magnus Manske,1,0.11750309741540454,4.0,36
Jc3s5h,1,0.11750309741540454,4.0,31
Jarekt,1,0.11750309741540454,4.0,24
Kaldari,1,0.11750309741540454,4.0,24
Micru,1,0.11750309741540454,4.0,18
Ivan A. Krestinin,1,0.11750309741540454,4.0,13
Popcorndude,1,0.11750309741540454,4.0,11
Laddo,1,0.11750309741540454,4.0,8
Taketa,1,0.11750309741540454,4.0,2
Snipre,1,0.08948963861996584,3.0,48
Ayack,1,0.08948963861996584,3.0,32
Kolja21,1,0.08948963861996584,3.0,32
PKM,1,0.08948963861996584,3.0,28
MisterSynergy,1,0.08948963861996584,3.0,27
Nemo_bis,1,0.08948963861996584,3.0,20
Jheald,1,0.08948963861996584,3.0,19
JulesWinnfield-hu,1,0.08948963861996584,3.0,16
PokestarFan,1,0.08948963861996584,3.0,13
Andrew Gray,1,0.08948963861996584,3.0,12
Gymel,1,0.08948963861996584,3.0,12
Thgoiter,1,0.08948963861996584,3.0,12
Vlsergey,1,0.08948963861996584,3.0,12
Arctic.gnome,1,0.08948963861996584,3.0,9
George.Edward.C,1,0.08948963861996584,3.0,9
Periglio,1,0.08948963861996584,3.0,5
Dr Zimbu,1,0.08948963861996584,3.0,4
J 1982,1,0.08948963861996584,3.0,3
Lavallen,1,0.06058693718652419,2.0,42
Pyfisch,1,0.06058693718652419,2.0,41
TomT0m,1,0.06058693718652419,2.0,27
VIGNERON,1,0.06058693718652419,2.0,21
Wylve,1,0.06058693718652419,2.0,21
Steak,1,0.06058693718652419,2.0,14
Mateusz Konieczny,1,0.06058693718652419,2.0,13
Pere prlpz,1,0.06058693718652419,2.0,10
Agabi10,1,0.06058693718652419,2.0,9
Leyo,1,0.06058693718652419,2.0,9
MechQuester,1,0.06058693718652419,2.0,9
Pütz M.,1,0.06058693718652419,2.0,9
Shlomo,1,0.06058693718652419,2.0,8
EncycloPetey,1,0.06058693718652419,2.0,7
Giftzwerg 88,1,0.06058693718652419,2.0,7
Tozibb,1,0.06058693718652419,2.0,7
91.9.109.131,1,0.06058693718652419,2.0,6
Ham II,1,0.06058693718652419,2.0,6
Jane023,1,0.06058693718652419,2.0,6
LT910001,1,0.06058693718652419,2.0,6
October wind,1,0.06058693718652419,2.0,6
Sergey kudryavtsev,1,0.06058693718652419,2.0,6
Visite fortuitement prolongée,1,0.06058693718652419,2.0,6
Msmarmalade,1,0.06058693718652419,2.0,4
Rotpunkt,1,0.06058693718652419,2.0,4
Bigbossfarin,1,0.06058693718652419,2.0,3
Esquilo,1,0.06058693718652419,2.0,3
Michiel1972,1,0.06058693718652419,2.0,3
Dacoucou,1,0.06058693718652419,2.0,2
SixTwoEight,1,0.06058693718652419,2.0,2
Srittau,1,0.06058693718652419,2.0,2
Swpb,1,0.06058693718652419,2.0,2
콩가루,1,0.06058693718652419,2.0,2
Yerpo,1,0.06058693718652419,2.0,1
Vojtěch Dostál,1,0.03076676552365587,1.0,48
Docu,1,0.03076676552365587,1.0,44
Bene*,1,0.03076676552365587,1.0,39
Sk!d,1,0.03076676552365587,1.0,36
Ymblanter,1,0.03076676552365587,1.0,35
Tobias1984,1,0.03076676552365587,1.0,27
Closeapple,1,0.03076676552365587,1.0,25
Pintoch,1,0.03076676552365587,1.0,24
Pichpich,1,0.03076676552365587,1.0,23
Vladimir Alexiev,1,0.03076676552365587,1.0,22
Akkakk,1,0.03076676552365587,1.0,21
Brya,1,0.03076676552365587,1.0,21
Epìdosis,1,0.03076676552365587,1.0,21
YMS,1,0.03076676552365587,1.0,21
Kizar,1,0.03076676552365587,1.0,20
T.seppelt,1,0.03076676552365587,1.0,17
Delusion23,1,0.03076676552365587,1.0,16
Thierry Caro,1,0.03076676552365587,1.0,16
Daniel Mietchen,1,0.03076676552365587,1.0,15
Rippitippi,1,0.03076676552365587,1.0,15
-revi,1,0.03076676552365587,1.0,13
Richard Arthur Norton (1958- ),1,0.03076676552365587,1.0,12
Abián,1,0.03076676552365587,1.0,11
Averater,1,0.03076676552365587,1.0,10
Bever,1,0.03076676552365587,1.0,10
Llywelyn2000,1,0.03076676552365587,1.0,10
Oliv0,1,0.03076676552365587,1.0,10
Pinky sl,1,0.03076676552365587,1.0,10
Pyb,1,0.03076676552365587,1.0,10
Roland45,1,0.03076676552365587,1.0,9
Thryduulf,1,0.03076676552365587,1.0,9
Yamaha5,1,0.03076676552365587,1.0,9
85.212.22.136,1,0.03076676552365587,1.0,8
Anonymous_username_38,1,0.03076676552365587,1.0,8
Anonymous_username_39,1,0.03076676552365587,1.0,8
Jon Harald Søby,1,0.03076676552365587,1.0,8
Mfb,1,0.03076676552365587,1.0,8
Teolemon,1,0.03076676552365587,1.0,8
Gerwoman,1,0.03076676552365587,1.0,7
Laboramus,1,0.03076676552365587,1.0,7
Mad melone,1,0.03076676552365587,1.0,7
ديفيد عادل وهبة خليل 2,1,0.03076676552365587,1.0,7
-jkb-,1,0.03076676552365587,1.0,6
129.13.72.196,1,0.03076676552365587,1.0,6
85.212.52.233,1,0.03076676552365587,1.0,6
Brackenheim,1,0.03076676552365587,1.0,6
Caliburn,1,0.03076676552365587,1.0,6
Charles Matthews,1,0.03076676552365587,1.0,6
Fractaler,1,0.03076676552365587,1.0,6
Hym411,1,0.03076676552365587,1.0,6
JesseW,1,0.03076676552365587,1.0,6
Joshbaumgartner,1,0.03076676552365587,1.0,6
Jsamwrites,1,0.03076676552365587,1.0,6
Mbch331,1,0.03076676552365587,1.0,6
Yurik,1,0.03076676552365587,1.0,6
Максим Підліснюк,1,0.03076676552365587,1.0,6
Ainali,1,0.03076676552365587,1.0,5
Alphos,1,0.03076676552365587,1.0,5
Anonymous_username_44,1,0.03076676552365587,1.0,5
Blackcat,1,0.03076676552365587,1.0,5
Galaktos,1,0.03076676552365587,1.0,5
Jason.nlw,1,0.03076676552365587,1.0,5
John Cummings,1,0.03076676552365587,1.0,5
MisterSanderson,1,0.03076676552365587,1.0,5
Paperoastro,1,0.03076676552365587,1.0,5
Robby,1,0.03076676552365587,1.0,5
Robin van der Vliet,1,0.03076676552365587,1.0,5
Syced,1,0.03076676552365587,1.0,5
Underlying lk,1,0.03076676552365587,1.0,5
Wesalius,1,0.03076676552365587,1.0,5
분당선M,1,0.03076676552365587,1.0,5
130.88.141.34,1,0.03076676552365587,1.0,4
Anonymous_username_37,1,0.03076676552365587,1.0,4
DonPedro71,1,0.03076676552365587,1.0,4
Eldizzino,1,0.03076676552365587,1.0,4
John Vandenberg,1,0.03076676552365587,1.0,4
Máté,1,0.03076676552365587,1.0,4
Powerek38,1,0.03076676552365587,1.0,4
Shisma,1,0.03076676552365587,1.0,4
Steenth,1,0.03076676552365587,1.0,4
Totodu74,1,0.03076676552365587,1.0,4
Vargenau,1,0.03076676552365587,1.0,4
1234qwer1234qwer4,1,0.03076676552365587,1.0,3
AHeneen,1,0.03076676552365587,1.0,3
AVRS,1,0.03076676552365587,1.0,3
Anonymous_username_55,1,0.03076676552365587,1.0,3
Anonymous_username_59,1,0.03076676552365587,1.0,3
Artem Korzhimanov,1,0.03076676552365587,1.0,3
B.Zsolt,1,0.03076676552365587,1.0,3
DerFussi,1,0.03076676552365587,1.0,3
FreightXPress,1,0.03076676552365587,1.0,3
Haplology,1,0.03076676552365587,1.0,3
Kopiersperre,1,0.03076676552365587,1.0,3
Louperivois,1,0.03076676552365587,1.0,3
MSGJ,1,0.03076676552365587,1.0,3
Miredcessy,1,0.03076676552365587,1.0,3
Ocram89,1,0.03076676552365587,1.0,3
Sawol,1,0.03076676552365587,1.0,3
Theklan,1,0.03076676552365587,1.0,3
Tinker Bell,1,0.03076676552365587,1.0,3
Tolanor,1,0.03076676552365587,1.0,3
ValterVBot,1,0.03076676552365587,1.0,3
Vyom25,1,0.03076676552365587,1.0,3
Xmlizer,1,0.03076676552365587,1.0,3
all Vicimediae replaced by Vicimediorum for wd-items of type category''(,1,0.03076676552365587,1.0,3
לערי ריינהארט,1,0.03076676552365587,1.0,3
88.77.6.68,1,0.03076676552365587,1.0,2
AlepfuBot,1,0.03076676552365587,1.0,2
Andyrom75,1,0.03076676552365587,1.0,2
DmitTrix,1,0.03076676552365587,1.0,2
GranD,1,0.03076676552365587,1.0,2
Heron,1,0.03076676552365587,1.0,2
LinardsLinardsLinards,1,0.03076676552365587,1.0,2
MarcoAurelio,1,0.03076676552365587,1.0,2
Megascheli,1,0.03076676552365587,1.0,2
Otourly,1,0.03076676552365587,1.0,2
Paucabot,1,0.03076676552365587,1.0,2
Recherchedienst,1,0.03076676552365587,1.0,2
Silvonen,1,0.03076676552365587,1.0,2
Smalyshev (WMF),1,0.03076676552365587,1.0,2
StevenJ81,1,0.03076676552365587,1.0,2
Superchilum,1,0.03076676552365587,1.0,2
Uziel302,1,0.03076676552365587,1.0,2
VaeVictis,1,0.03076676552365587,1.0,2
Xaris333,1,0.03076676552365587,1.0,2
Ziad,1,0.03076676552365587,1.0,2
billinghurst,1,0.03076676552365587,1.0,2
79.217.130.43,1,0.03076676552365587,1.0,1
Amadalvarez,1,0.03076676552365587,1.0,1
Delirium,1,0.03076676552365587,1.0,1
Japan Football,1,0.03076676552365587,1.0,1
Jcornelius,1,0.03076676552365587,1.0,1
Jfhutson,1,0.03076676552365587,1.0,1
MGChecker,1,0.03076676552365587,1.0,1
Mateusz.ns,1,0.03076676552365587,1.0,1
Spinster,1,0.03076676552365587,1.0,1
Tomastvivlaren,1,0.03076676552365587,1.0,1
Toru10,1,0.03076676552365587,1.0,1
امین اکبر,1,0.03076676552365587,1.0,1
