editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Jura1,198,1.0,1.0,1.0,1.0,105,0.329153605015674,1,{'Pasleim': 1},1.0,1.0,1.0,1.0,1,very_high
Matěj Suchánek,152,1.0,1.0,0.46875,1.0,83,0.28135593220338984,1,{'Pasleim': 1},0.9428569793329773,0.7904761904761904,0.8547861178369653,0.8079041988455835,2,very_high
Pigsonthewing,94,1.0,1.0,0.625,1.0,65,0.2549019607843137,1,{'Pasleim': 1},0.8392603057719249,0.6190476190476191,0.7744164332399626,0.7994641824221164,3,very_high
ValterVB,98,1.0,1.0,0.421875,1.0,75,0.30120481927710846,1,{'Pasleim': 1},0.8482258590690749,0.7142857142857143,0.91508892713712,0.7822460785243086,4,very_high
Sjoerddebruin,63,1.0,1.0,0.328125,1.0,51,0.21428571428571427,1,{'Pasleim': 1},0.7533950292325585,0.4857142857142857,0.6510204081632652,0.6819458994208116,5,very_high
Multichill,82,1.0,1.0,0.203125,1.0,59,0.23694779116465864,1,{'Pasleim': 1},0.8099055979011544,0.5619047619047619,0.7198699560145343,0.6756444778774635,6,high
Nikki,53,1.0,1.0,0.203125,1.0,40,0.16736401673640167,1,{'Pasleim': 1},0.7164617217379947,0.38095238095238093,0.5084678222753536,0.6136415945049114,7,high
Innocent bystander,49,1.0,1.0,0.203125,1.0,39,0.1652542372881356,1,{'Pasleim': 1},0.6997316339694253,0.37142857142857144,0.5020581113801453,0.6102593571222,8,high
Edgars2007,62,1.0,1.0,0.15625,1.0,40,0.16129032258064516,1,{'Pasleim': 1},0.7499715906927692,0.38095238095238093,0.4900153609831029,0.601753091823425,9,high
Zolo,58,1.0,1.0,0.140625,1.0,41,0.16872427983539096,1,{'Pasleim': 1},0.7357118005812227,0.3904761904761905,0.5126004311189497,0.6012971212361943,10,high
Edoderoo,82,1.0,1.0,0.125,1.0,42,0.15789473684210525,1,{'Pasleim': 1},0.8099055979011544,0.4,0.47969924812030074,0.5997152047070878,11,medium
Succu,68,1.0,1.0,0.078125,1.0,45,0.18072289156626506,1,{'Pasleim': 1},0.7697473864899259,0.42857142857142855,0.5490533562822719,0.5986382406670092,12,medium
Izno,48,1.0,1.0,0.09375,1.0,40,0.17094017094017094,1,{'Pasleim': 1},0.6953398915813905,0.38095238095238093,0.5193325193325193,0.5863282227027976,13,medium
Ricordisamoa,68,1.0,1.0,0.109375,1.0,37,0.14396887159533073,1,{'Pasleim': 1},0.7697473864899259,0.3523809523809524,0.43739114322771905,0.5800464241234586,14,medium
