reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid
120033394,2012-01-22,430536,433129,255,2012,2012.csv,2012_120033394
120034263,2012-01-23,427301,434682,800,2012,2012.csv,2012_120034263
120034970,2012-01-23,422201,433910,1345,2012,2012.csv,2012_120034970
120035568,2012-01-24,428891,431676,117,2012,2012.csv,2012_120035568
120036061,2012-01-24,442525,427843,930,2012,2012.csv,2012_120036061
120036097,2012-01-24,420972,439975,740,2012,2012.csv,2012_120036097
120037021,2012-01-24,429960,430866,2115,2012,2012.csv,2012_120037021
120037514,2012-01-25,432133,429435,818,2012,2012.csv,2012_120037514
120037869,2012-01-25,431818,426339,853,2012,2012.csv,2012_120037869
120038444,2012-01-25,424304,434770,1645,2012,2012.csv,2012_120038444
120038568,2012-01-25,431231,434794,1720,2012,2012.csv,2012_120038568
120038630,2012-01-25,427714,436154,1915,2012,2012.csv,2012_120038630
120039444,2012-01-25,432971,439577,1410,2012,2012.csv,2012_120039444
120039161,2012-01-26,424375,433891,645,2012,2012.csv,2012_120039161
120039266,2012-01-26,432902,430251,955,2012,2012.csv,2012_120039266
120040113,2012-01-26,435099,435651,1440,2012,2012.csv,2012_120040113
120040180,2012-01-26,431956,430497,1615,2012,2012.csv,2012_120040180
120040237,2012-01-26,431367,433965,1755,2012,2012.csv,2012_120040237
120040275,2012-01-26,433887,426146,1726,2012,2012.csv,2012_120040275
120042215,2012-01-26,438758,430801,1805,2012,2012.csv,2012_120042215
120047476,2012-01-26,437329,435796,815,2012,2012.csv,2012_120047476
120041238,2012-01-27,419851,441187,1040,2012,2012.csv,2012_120041238
120041360,2012-01-27,437025,436227,828,2012,2012.csv,2012_120041360
120000793,2012-01-01,423650,434359,1110,2012,2012.csv,2012_120000793
120000892,2012-01-01,433709,434315,200,2012,2012.csv,2012_120000892
120000927,2012-01-01,432526,427554,1750,2012,2012.csv,2012_120000927
120000928,2012-01-01,428530,431387,1535,2012,2012.csv,2012_120000928
120000979,2012-01-01,425797,435675,1405,2012,2012.csv,2012_120000979
120010921,2012-01-01,431174,440726,1630,2012,2012.csv,2012_120010921
120002429,2012-01-03,425774,431455,742,2012,2012.csv,2012_120002429
120002748,2012-01-03,424657,427975,2100,2012,2012.csv,2012_120002748
120003158,2012-01-03,439205,432227,1314,2012,2012.csv,2012_120003158
120003355,2012-01-03,435658,437932,1210,2012,2012.csv,2012_120003355
120004201,2012-01-03,437233,425790,2025,2012,2012.csv,2012_120004201
120004347,2012-01-04,427136,429474,1015,2012,2012.csv,2012_120004347
120004863,2012-01-04,426507,435667,1645,2012,2012.csv,2012_120004863
120005170,2012-01-04,429453,433860,2130,2012,2012.csv,2012_120005170
120005656,2012-01-04,429403,433464,1705,2012,2012.csv,2012_120005656
120005382,2012-01-05,430910,432288,1600,2012,2012.csv,2012_120005382
120005694,2012-01-05,436074,435570,730,2012,2012.csv,2012_120005694
120005744,2012-01-05,431400,435025,1050,2012,2012.csv,2012_120005744
120005886,2012-01-05,427861,430083,550,2012,2012.csv,2012_120005886
120006358,2012-01-05,427494,436986,1628,2012,2012.csv,2012_120006358
120006428,2012-01-05,428196,434479,1710,2012,2012.csv,2012_120006428
120007384,2012-01-06,431017,430505,930,2012,2012.csv,2012_120007384
120008132,2012-01-06,436596,439920,1328,2012,2012.csv,2012_120008132
120008262,2012-01-06,429884,432119,1644,2012,2012.csv,2012_120008262
120009062,2012-01-07,430375,433514,1030,2012,2012.csv,2012_120009062
120009142,2012-01-07,431268,428915,1155,2012,2012.csv,2012_120009142
120009634,2012-01-07,429209,436676,1610,2012,2012.csv,2012_120009634
120011540,2012-01-09,425061,433370,805,2012,2012.csv,2012_120011540
120012665,2012-01-09,423085,437634,1430,2012,2012.csv,2012_120012665
120012866,2012-01-09,432414,426742,1740,2012,2012.csv,2012_120012866
120012916,2012-01-09,428937,429848,5,2012,2012.csv,2012_120012916
120013267,2012-01-10,425540,434161,750,2012,2012.csv,2012_120013267
120014564,2012-01-10,422873,439311,1610,2012,2012.csv,2012_120014564
