reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name
120009062,2012-01-07,430375,433514,1030,2012,2012.csv,2012_120009062,leeds_central_selected_box
120020522,2012-01-14,430398,433640,1020,2012,2012.csv,2012_120020522,leeds_central_selected_box
120022848,2012-01-16,430269,433755,739,2012,2012.csv,2012_120022848,leeds_central_selected_box
120028885,2012-01-19,430656,433718,1255,2012,2012.csv,2012_120028885,leeds_central_selected_box
120041527,2012-01-27,430393,433608,1310,2012,2012.csv,2012_120041527,leeds_central_selected_box
120042973,2012-01-27,430879,433359,1800,2012,2012.csv,2012_120042973,leeds_central_selected_box
120050598,2012-01-29,430454,433955,2300,2012,2012.csv,2012_120050598,leeds_central_selected_box
120049784,2012-02-01,430380,433567,1235,2012,2012.csv,2012_120049784,leeds_central_selected_box
120052192,2012-02-03,430415,433704,910,2012,2012.csv,2012_120052192,leeds_central_selected_box
120056329,2012-02-06,430436,433966,920,2012,2012.csv,2012_120056329,leeds_central_selected_box
120074400,2012-02-17,430686,434136,1706,2012,2012.csv,2012_120074400,leeds_central_selected_box
120085863,2012-02-24,430080,433883,1505,2012,2012.csv,2012_120085863,leeds_central_selected_box
120091076,2012-02-25,429921,434146,1005,2012,2012.csv,2012_120091076,leeds_central_selected_box
120095078,2012-03-01,430872,434204,920,2012,2012.csv,2012_120095078,leeds_central_selected_box
120120080,2012-03-15,430630,434222,1110,2012,2012.csv,2012_120120080,leeds_central_selected_box
120121830,2012-03-17,429910,433953,1021,2012,2012.csv,2012_120121830,leeds_central_selected_box
120139844,2012-03-27,430455,433681,1505,2012,2012.csv,2012_120139844,leeds_central_selected_box
120139215,2012-03-28,430382,433580,950,2012,2012.csv,2012_120139215,leeds_central_selected_box
120140240,2012-03-28,430446,433936,1454,2012,2012.csv,2012_120140240,leeds_central_selected_box
120140338,2012-03-28,430456,433926,1800,2012,2012.csv,2012_120140338,leeds_central_selected_box
120143351,2012-03-30,430268,433744,1325,2012,2012.csv,2012_120143351,leeds_central_selected_box
120144505,2012-03-30,429911,433795,2340,2012,2012.csv,2012_120144505,leeds_central_selected_box
120147260,2012-04-02,430420,433732,953,2012,2012.csv,2012_120147260,leeds_central_selected_box
