u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
611057,6047609602,0,229127796,trunk,3,30 mph,East Street,True,A61,False,32.104148869412406,"LINESTRING (430799.9092635183 433279.50337283895, 430788.60541219503 433309.5816747118)",,,,,
6047609602,26661423,0,778025047,tertiary,1,30 mph,East Street,True,,False,39.978823269645325,"LINESTRING (430788.60541219503 433309.5816747118, 430783.711539102 433312.4980695803, 430778.5664829112 433315.54633915285, 430777.05137488095 433316.5489056285, 430772.5970596626 433320.7477254183, 430768.66464742273 433323.71494343365, 430762.73243088945 433326.25738506776, 430754.1558423694 433329.2275654825)",,,,,
6047609602,682264890,0,"[778025048, 29186597]",trunk,2,30 mph,East Street,True,A61,False,35.00902025049308,"LINESTRING (430788.60541219503 433309.5816747118, 430788.93927331 433314.9245189278, 430786.73184929154 433323.05454145046, 430786.3232659502 433325.0879867645, 430785.3292886665 433329.999321776, 430784.8821953646 433334.89199032786, 430784.18927405134 433344.1223291346)",,,,,
643851,1020737601,0,87797769,trunk_link,3,30 mph,Crown Point Road,True,A653,False,7.979067037711693,"LINESTRING (430879.63486876106 433361.1494190148, 430885.853277399 433366.1749378311)",,,,,
643851,762669698,0,27224242,trunk,2,30 mph,Duke Street,True,A61,False,70.39900039657749,"LINESTRING (430879.63486876106 433361.1494190148, 430906.3626903917 433337.7374011036, 430918.13873318787 433328.0904954821, 430920.63156523753 433325.6702388595, 430925.3249727811 433322.1963475604, 430933.95412236726 433316.26721235074)",,,,,
1020737601,2377604550,0,1067008054,trunk_link,2,30 mph,Crown Point Road,True,A653,False,27.734227467154053,"LINESTRING (430885.853277399 433366.1749378311, 430908.5067975876 433382.27924034745)",,,,,
1020737601,1606819527,0,1340870484,residential,1,20 mph,Brick Street,True,,False,12.689697094031565,"LINESTRING (430885.853277399 433366.1749378311, 430889.3316444909 433372.15042963135, 430890.606250101 433374.6622490027, 430891.6947310472 433377.42875045654)",,,,,
643907,26298423,0,845622691,trunk,3,30 mph,Eastgate,True,A61,False,15.623148180699715,"LINESTRING (430657.41474146326 433664.744554162, 430655.1446243909 433665.38618482114, 430651.0689977121 433667.1397904131, 430647.357944351 433669.5522353009, 430644.104042303 433672.56849112187)",roundabout,,,,
26298423,7275677007,0,4049157,unclassified,1,20 mph,Eastgate,True,,False,238.79432675244604,"LINESTRING (430644.104042303 433672.56849112187, 430624.4953462101 433684.5682678049, 430610.4971939312 433688.73836669605, 430606.5898985798 433689.9367900827, 430600.67858676374 433691.3780592014, 430542.2257896325 433699.49793315714, 430532.43728056824 433700.5580204177, 430506.366629888 433703.52616188617, 430471.4960384094 433707.48319718346, 430461.96429864055 433708.5673510635, 430428.74744292133 433711.4561786853, 430420.84529168817 433712.13930398144, 430412.7448430089 433719.02966789564)",,yes,,,
26298423,4540786888,0,845622690,trunk,3,30 mph,Eastgate,True,A61,False,23.221402295762292,"LINESTRING (430644.104042303 433672.56849112187, 430639.80676660594 433679.01598627167, 430637.6043384413 433686.445150867, 430637.69211949094 433694.18967509083)",roundabout,,,,
