osmid,y,x,street_count,highway,junction,geometry
611057,433279.50337283895,430799.9092635183,3,,,POINT (430799.9092635183 433279.50337283895)
6047609602,433309.5816747118,430788.60541219503,3,,,POINT (430788.60541219503 433309.5816747118)
643851,433361.1494190148,430879.63486876106,4,,,POINT (430879.63486876106 433361.1494190148)
1020737601,433366.1749378311,430885.853277399,3,crossing,,POINT (430885.853277399 433366.1749378311)
762669698,433316.26721235074,430933.95412236726,4,,,POINT (430933.95412236726 433316.26721235074)
643907,433664.744554162,430657.41474146326,3,,,POINT (430657.41474146326 433664.744554162)
26298423,433672.56849112187,430644.104042303,3,,,POINT (430644.104042303 433672.56849112187)
643911,433456.8536141057,430736.4826779195,3,,,POINT (430736.4826779195 433456.8536141057)
301689321,433490.3811758318,430762.5462736152,3,,,POINT (430762.5462736152 433490.3811758318)
643914,433458.76862731774,430772.3445193353,4,,,POINT (430772.3445193353 433458.76862731774)
342628235,433459.8051926261,430786.1973803451,5,,,POINT (430786.1973803451 433459.8051926261)
643929,433287.6538568372,430523.1268985276,3,,yes,POINT (430523.1268985276 433287.6538568372)
643930,433298.33381390444,430390.8527548402,3,,,POINT (430390.8527548402 433298.33381390444)
317087679,433247.4233540213,430571.3789831302,3,,,POINT (430571.3789831302 433247.4233540213)
643933,433226.00978921726,430249.147161967,3,,yes,POINT (430249.147161967 433226.00978921726)
301688528,433459.378288385,430427.1733672409,3,,,POINT (430427.1733672409 433459.378288385)
10103026371,433398.0959748912,430231.0826113823,2,,,POINT (430231.0826113823 433398.0959748912)
643945,433714.51774024265,430654.7644997555,3,,,POINT (430654.7644997555 433714.51774024265)
9823132,433848.9579676981,430795.89666391636,4,,yes,POINT (430795.89666391636 433848.9579676981)
6211583013,433694.80268262466,430688.95439027826,3,,,POINT (430688.95439027826 433694.80268262466)
643946,433696.139371668,430638.08778570016,3,,,POINT (430638.08778570016 433696.139371668)
1675168064,433719.1322793114,430633.8670016974,4,,,POINT (430633.8670016974 433719.1322793114)
8273166694,433714.0889776362,430653.8517167374,3,,,POINT (430653.8517167374 433714.0889776362)
643951,433783.9855264515,430756.0181038312,3,,traffic_signals,POINT (430756.0181038312 433783.9855264515)
659971029,433768.54424234026,430737.6563266361,3,,,POINT (430737.6563266361 433768.54424234026)
9791130,433404.2434998902,429823.14775235957,1,,,POINT (429823.14775235957 433404.2434998902)
11264550802,433401.26806458493,429923.83453889884,1,,,POINT (429923.83453889884 433401.26806458493)
9791509,433923.7015111047,429795.46451520995,4,,yes,POINT (429795.46451520995 433923.7015111047)
4621501066,433959.63926519477,429795.407669434,3,,,POINT (429795.407669434 433959.63926519477)
44977061,433933.45591371064,429912.1500957699,4,,yes,POINT (429912.1500957699 433933.45591371064)
10981685393,433886.031880531,429796.1251494,1,,,POINT (429796.1251494 433886.031880531)
9791529,434121.01200917293,429780.7694676407,3,,,POINT (429780.7694676407 434121.01200917293)
