u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,junction,access,width,tunnel,bridge,edge_id,cell_seed,geometry_wkt
8273166694,643945,0,890039689,trunk,3,30 mph,Eastgate,True,A61,False,1.0059210188022942,roundabout,,,,,0,342628235.0,"LINESTRING (430653.851717 433714.088978, 430654.7645 433714.51774)"
4540786888,643946,0,845622689,trunk,3,30 mph,Eastgate,True,A61,False,1.9880589653813254,roundabout,,,,,1,342628235.0,"LINESTRING (430637.692119 433694.189675, 430638.087786 433696.139372)"
304904888,3071035461,0,1277848499,trunk,2,30 mph,,False,,False,2.2683615663791814,circular,,,,,2,9823212.0,"LINESTRING (430872.279771 434332.110925, 430871.764688 434334.321688)"
3071035461,304904888,0,1277848499,trunk,2,30 mph,,False,,True,2.2683615663791814,circular,,,,,3,9823212.0,"LINESTRING (430871.764688 434334.321688, 430872.279771 434332.110925)"
1743296800,52167543,0,453297314,unclassified,,20 mph,Bridge Street,False,,False,2.931200761497125,,,,,,4,9823212.0,"LINESTRING (430681.35958 433998.135782, 430680.515108 433995.326416)"
52167543,1743296800,0,453297314,unclassified,,20 mph,Bridge Street,False,,True,2.931200761497125,,,,,,5,9823212.0,"LINESTRING (430680.515108 433995.326416, 430681.35958 433998.135782)"
8663865756,5518536459,0,934911867,residential,,20 mph,,False,,False,3.257404052078678,,,,,,6,52728502.0,"LINESTRING (429968.497986 434192.480856, 429966.167871 434190.196203)"
5518536459,8663865756,0,934911867,residential,,20 mph,,False,,True,3.257404052078678,,,,,,7,52728502.0,"LINESTRING (429966.167871 434190.196203, 429968.497986 434192.480856)"
52350420,52351599,0,1267509524,tertiary,2,30 mph,North Street,True,,False,3.3496969063424555,,,,,,8,9823212.0,"LINESTRING (430477.960689 433983.993099, 430476.055342 433981.232515)"
11729210422,10103026385,0,6292960,unclassified,1,20 mph,Mill Hill,True,,False,3.503531751190965,,,,,,9,10103026385.0,"LINESTRING (430030.33022 433374.810848, 430030.27359 433371.305686)"
1377189433,1659456384,0,609729554,trunk,3,30 mph,Woodhouse Lane,True,A660,False,4.729265748191231,,,,,yes,10,52728502.0,"LINESTRING (429924.526477 434278.507495, 429925.642509 434273.908297)"
298186520,1377189433,0,609729554,trunk,3,30 mph,Woodhouse Lane,True,A660,False,5.114549175924283,,,,,yes,11,52728502.0,"LINESTRING (429923.486853 434283.518855, 429924.526477 434278.507495)"
1606959387,611057,0,229127798,trunk,2,30 mph,East Street,True,A61,False,5.198382997387646,,,,,,12,342628235.0,"LINESTRING (430803.288312 433275.542304, 430799.909264 433279.503373)"
52350425,52351597,0,6251097,busway,1,30 mph,Vicar Lane,True,,False,5.923358280563039,,no,,,,13,52728502.0,"LINESTRING (430455.028755 433958.242486, 430453.828137 433952.437859)"
26296951,52167638,0,175145754,tertiary,3,30 mph,New Briggate,True,,False,5.928776747417708,,,,,,14,52728502.0,"LINESTRING (430334.694099 433899.817602, 430338.849199 433904.061347)"
10624200323,10624200325,0,162446386,tertiary,2,30 mph,New York Road,True,,False,6.033421390114462,,,,,,15,52728502.0,"LINESTRING (430431.928293 433968.607081, 430437.164472 433965.581281)"
5518536463,8663865756,0,153236480,trunk,2,30 mph,Woodhouse Lane,True,A660,False,6.265926958561384,,,,,,16,52728502.0,"LINESTRING (429972.048071 434187.307513, 429968.497986 434192.480856)"
5518536463,5518536459,0,575040967,unclassified,1,,Portland Crescent,True,,False,6.535244799647595,,,,,,17,52728502.0,"LINESTRING (429972.048071 434187.307513, 429966.167871 434190.196203)"
13005195580,250961841,0,1415268830,unclassified,1,20 mph,Byron Street,True,,False,6.614131087153632,,,,,,18,9823212.0,"LINESTRING (430609.073561 434167.641436, 430606.590031 434173.778125)"
250131780,118610832,0,236285560,tertiary,,,Wade Lane,False,,False,6.789189195401845,,,,,,19,52728502.0,"LINESTRING (430272.351656 434073.398088, 430267.985548 434068.185046)"
118610832,250131780,0,236285560,tertiary,,,Wade Lane,False,,True,6.789189195401845,,,,,,20,52728502.0,"LINESTRING (430267.985548 434068.185046, 430272.351656 434073.398088)"
52161947,13005195583,0,23202937,living_street,,20 mph,Concord Street,True,,False,7.084912418949756,,,,,,21,9823212.0,"LINESTRING (430633.016045 434233.031576, 430635.963535 434234.519496, 430639.605158 434235.6114)"
3776331138,6307064269,0,1359590276,living_street,,20 mph,Russell Street,False,,True,7.112969057480555,,,,,,22,,"LINESTRING (429832.14598 433621.96535, 429839.279879 433621.943927)"
6307064269,3776331138,0,1359590276,living_street,,20 mph,Russell Street,False,,False,7.112969057480555,,,,,,23,,"LINESTRING (429839.279879 433621.943927, 429832.14598 433621.96535)"
52677787,52678050,0,6272526,residential,2,,Lovell Park Hill,False,,True,7.4452930066972485,,,,,,24,9823212.0,"LINESTRING (430488.436229 434363.770808, 430481.302458 434365.972)"
52678050,52677787,0,6272526,residential,2,,Lovell Park Hill,False,,False,7.4452930066972485,,,,,,25,9823212.0,"LINESTRING (430481.302458 434365.972, 430488.436229 434363.770808)"
6211583013,26298420,0,845622687,trunk,3,30 mph,Eastgate,True,A61,False,7.875416512997927,roundabout,,,,,26,342628235.0,"LINESTRING (430688.95439 433694.802683, 430689.216661 433686.926929)"
643851,1020737601,0,87797769,trunk_link,3,30 mph,Crown Point Road,True,A653,False,7.979067037711693,,,,,,27,342628235.0,"LINESTRING (430879.634869 433361.149419, 430885.853277 433366.174938)"
52732247,52728502,0,385413933,trunk,,30 mph,Woodhouse Lane,False,A660,True,8.370386651999274,,,,,,28,52728502.0,"LINESTRING (430002.084853 434145.5419, 429998.000685 434152.859194)"
52728502,52732247,0,385413933,trunk,,30 mph,Woodhouse Lane,False,A660,False,8.370386651999274,,,,,,29,52728502.0,"LINESTRING (429998.000685 434152.859194, 430002.084853 434145.5419)"
6307064281,6307064269,0,673495204,living_street,,,Russell Street,False,,True,8.58426297525016,,,,,,30,,"LINESTRING (429839.327883 433613.354693, 429839.279879 433621.943927)"
6307064269,6307064281,0,673495204,living_street,,,Russell Street,False,,False,8.58426297525016,,,,,,31,,"LINESTRING (429839.279879 433621.943927, 429839.327883 433613.354693)"
52732230,8663865756,0,934911867,residential,,20 mph,,False,,False,8.673765251003534,,,,,,32,52728502.0,"LINESTRING (429974.159589 434199.070432, 429968.497986 434192.480856)"
8663865756,52732230,0,934911867,residential,,20 mph,,False,,True,8.673765251003534,,,,,,33,52728502.0,"LINESTRING (429968.497986 434192.480856, 429974.159589 434199.070432)"
52167611,26298434,0,453297314,unclassified,,20 mph,Bridge Street,False,,False,8.773072472401315,,,,,,34,9823212.0,"LINESTRING (430675.346745 433974.85349, 430673.162884 433966.349797)"
